,District Name,Market Name,State
0,Delhi,Najafgarh,Delhi
3101,Delhi,Narela,Delhi
5618,Delhi,Shahdara,Delhi
0,Hissar,Adampur,Haryana
237,Ambala,Ambala Cantt.,Haryana
239,Ambala,Ambala City,Haryana
243,Mahendragarh-Narnaul,Ateli,Haryana
972,Jhajar,Bahadurgarh,Haryana
1512,Faridabad,Ballabhgarh,Haryana
2272,Panchkula,Barwala,Haryana
2433,Hissar,Barwala(Hisar),Haryana
2508,Bhiwani,Behal,Haryana
3093,Jhajar,Beri,Haryana
3095,Fatehabad,Bhattu Kalan,Haryana
3467,Bhiwani,Bhiwani,Haryana
4143,Fatehabad,Bhuna,Haryana
4654,Bhiwani,Ch. Dadri,Haryana
5018,Kaithal,Dhand,Haryana
5019,Sirsa,Ding,Haryana
5240,Sirsa,Ellanabad,Haryana
5511,Gurgaon,Farukh Nagar,Haryana
6871,Fatehabad,Fatehabad,Haryana
7455,Sonipat,Gohana,Haryana
7596,Gurgaon,Gurgaon,Haryana
7616,Hissar,Hansi,Haryana
7896,Palwal,Hassanpur,Haryana
8199,Mewat,Hathin,Haryana
8295,Hissar,Hissar,Haryana
8736,Palwal,Hodal,Haryana
8846,Panipat,Israna,Haryana
8847,Fatehabad,Jakhal,Haryana
8868,Jhajar,Jhajjar,Haryana
8892,Jind,Jind,Haryana
9320,Bhiwani,Jui,Haryana
9682,Jind,Jullana,Haryana
10230,Sirsa,kalanwali,Haryana
10250,Sirsa,Kalawali(Odhan),Haryana
10251,Kaithal,Kalayat,Haryana
10625,Mahendragarh-Narnaul,Khanina,Haryana
11344,Rewari,Kosli,Haryana
11358,Karnal,Kunjpura,Haryana
11363,Kurukshetra,Ladwa,Haryana
11364,Bhiwani,Loharu,Haryana
12003,Bhiwani,Loharu(Dighwa),Haryana
12258,Panipat,Madlauda,Haryana
12260,Rohtak,Meham,Haryana
12289,Mahendragarh-Narnaul,Mohindergarh,Haryana
12303,Ambala,Naraingarh,Haryana
12660,Hissar,Narnaud(Bass),Haryana
