,District Name,Market Name,State
0,Barpeta,Bohorihat,Assam
3015,Bangaigaon,Bongiagaon,Assam
5017,Cachar,Cachar,Assam
12628,Sonitpur,Dhekiajuli,Assam
13741,Nagaon,Dhing,Assam
14883,Dibrugarh,Dibrugarh,Assam
15497,Dhubri,Gauripur,Assam
16486,Goalpara,Goalpara,Assam
17892,Golaghat,Golaghat,Assam
19485,Kamrup,Goreswar,Assam
19571,Hailakandi,Hailakandi,Assam
22566,Barpeta,Howly,Assam
26313,Jorhat,Jorhat,Assam
27243,Karimganj,Karimganj,Assam
28522,Darrang,Kharupetia,Assam
29158,Nagaon,Lanka,Assam
31854,Nalbari,Nalbari,Assam
33433,Lakhimpur,North Lakhimpur,Assam
34397,Kamrup,P.O. Uparhali Guwahati,Assam
41855,Dhemaji,Silapathar,Assam
42705,Sibsagar,Sivasagar,Assam
43862,Kokrajhar,Srirampur,Assam
44046,Tinsukia,Tinsukia,Assam
0,Delhi,Najafgarh,Delhi
686,Delhi,Narela,Delhi
828,Delhi,Shahdara,Delhi
0,Jammu,Jammu (Grain Mandi),Jammu_and_Kashmir
0,Bokaro,Bermo,Jharkhand
150,Bokaro,Bokaro (Chas),Jharkhand
961,West Singbhum,Chaibasa,Jharkhand
2993,East Singhbhum,Chakulia,Jharkhand
3395,Palamu,Daltenganj,Jharkhand
3769,Deogarh,Deoghar,Jharkhand
4888,Dhanbad,Dhanbad,Jharkhand
6346,Dumka,Dumka,Jharkhand
8024,Garhwa,Gadhwah,Jharkhand
8682,Giridih,Giridih,Jharkhand
10417,Godda,Godda,Jharkhand
10928,Gumla,Gumla,Jharkhand
11321,Hazaribagh,Hazaribagh,Jharkhand
12007,East Singhbhum,Jamshedpur,Jharkhand
13761,Jamtara,Jamtara,Jharkhand
14501,Ranchi,Khunti,Jharkhand
15591,Koderma,Koderma,Jharkhand
17029,Latehar,Latehar,Jharkhand
17983,Lohardaga,Lohardaga,Jharkhand
18164,Deogarh,Madhupur,Jharkhand
18476,Pakur,Pakur,Jharkhand
19857,Hazaribagh,Ramgarh,Jharkhand
20090,Ranchi,Ranchi,Jharkhand
23161,Sahebgang,Sahebganj,Jharkhand
25373,Saraikela(Kharsanwa),Saraikela,Jharkhand
26173,Simdega,Simdega,Jharkhand
74101,Ranchi,Pandara,Jharkhand
0,Dharwad,Annigeri,Karnataka
35,Hassan,Arasikere,Karnataka
107,Belgaum,Athani,Karnataka
113,Belgaum,Bailahongal,Karnataka
241,Bangalore,Bangalore,Karnataka
1767,Kolar,Bangarpet,Karnataka
3128,Mangalore(Dakshin Kannad),Bantwala,Karnataka
3687,Mangalore(Dakshin Kannad),Belthangdi,Karnataka
4778,Hassan,Belur,Karnataka
5120,Shimoga,Bhadravathi,Karnataka
5372,Bidar,Bhalki,Karnataka
5373,Bidar,Bidar,Karnataka
6713,Chitradurga,Challakere,Karnataka
6715,Chamrajnagar,Chamaraj Nagar,Karnataka
6943,Davangere,Channagiri,Karnataka
6945,Bangalore,Channapatana,Karnataka
7078,Hassan,Channarayapatna,Karnataka
7286,Kolar,Chickkaballapura,Karnataka
7477,Chikmagalur,Chikkamagalore,Karnataka
7623,Kolar,Chintamani,Karnataka
9338,Chitradurga,Chitradurga,Karnataka
9339,Gulbarga,Chittapur,Karnataka
9340,Davangere,Davangere,Karnataka
9345,Dharwad,Dharwar,Karnataka
9371,Bangalore,Doddaballa Pur,Karnataka
9798,Koppal,Gangavathi,Karnataka
10112,Madikeri(Kodagu),Gonikappal,Karnataka
10217,Kolar,Gowribidanoor,Karnataka
11001,Tumkur,Gubbi,Karnataka
11017,Gulbarga,Gulbarga,Karnataka
