,District Name,Market Name,State
0,Visakhapatnam,Anakapally,Andhra_Pradesh
2,Cuddapah,Cuddapah,Andhra_Pradesh
1300,Srikakulam,Ichapuram,Andhra_Pradesh
1314,Visakhapatnam,Narsipatnam,Andhra_Pradesh
1315,Vijayanagaram,Parvathipuram,Andhra_Pradesh
1316,Cuddapah,Proddatur,Andhra_Pradesh
1318,Vijayanagaram,"R and B Guest House,RBZ,Vizianagaram",Andhra_Pradesh
1320,Chittor,Tirupati,Andhra_Pradesh
1341,Visakhapatnam,Visakhapatnam,Andhra_Pradesh
0,Barpeta,Bohorihat,Assam
610,Bangaigaon,Bongiagaon,Assam
671,Cachar,Cachar,Assam
719,Sonitpur,Dhekiajuli,Assam
864,Nagaon,Dhing,Assam
1251,Dibrugarh,Dibrugarh,Assam
2310,Dhubri,Gauripur,Assam
2397,Goalpara,Goalpara,Assam
2564,Golaghat,Golaghat,Assam
2565,Barpeta,Howly,Assam
2602,Jorhat,Jorhat,Assam
2787,Karimganj,Karimganj,Assam
2788,Darrang,Kharupetia,Assam
2977,Nagaon,Lanka,Assam
2988,Kamrup,P.O. Uparhali Guwahati,Assam
3090,Dhemaji,Silapathar,Assam
3101,Sibsagar,Sivasagar,Assam
3102,Tinsukia,Tinsukia,Assam
0,Durg,Ahivara,Chhatisgarh
35,Janjgir,Akaltara,Chhatisgarh
85,Janjgir,Amadula,Chhatisgarh
98,Surguja,Ambikapur,Chhatisgarh
788,Raipur,Anand Nagar,Chhatisgarh
867,Kanker,Antagarh,Chhatisgarh
869,Raipur,Arang,Chhatisgarh
870,Mahasamund,Bagbahra,Chhatisgarh
919,Jashpur,Bageecha,Chhatisgarh
1001,Koria,Baikunthpur,Chhatisgarh
1304,Balod,Balod,Chhatisgarh
1319,Balodabazar,Balodabazar,Chhatisgarh
1349,Rajnandgaon,Bandhabazar,Chhatisgarh
1353,Janjgir,Baradwar,Chhatisgarh
1356,Raigarh,Baramkela,Chhatisgarh
1489,Mahasamund,Basana,Chhatisgarh
1544,Bastar,Bastar,Chhatisgarh
1545,Rajnandgaon,Bazar Atriya,Chhatisgarh
1559,Dhamtari,Belargaon,Chhatisgarh
1567,Bemetara,Bemetara,Chhatisgarh
2792,Bemetara,Berla,Chhatisgarh
2928,Korba,Bhaisma,Chhatisgarh
3000,Balodabazar,Bhatapara,Chhatisgarh
6592,Mahasamund,Bhavarpur,Chhatisgarh
6598,Bilaspur,Bilaspur,Chhatisgarh
8130,Bilaspur,Bilha,Chhatisgarh
8154,Dhamtari,Boraee,Chhatisgarh
8178,Janjgir,Champa,Chhatisgarh
8182,Janjgir,Chandrapur,Chhatisgarh
8185,Kanker,Charama,Chhatisgarh
8201,Kondagaon,Chhinari,Chhatisgarh
8202,Gariyaband,Devbhog,Chhatisgarh
8218,Durg,Dhamdha,Chhatisgarh
8252,Dhamtari,Dhamtari,Chhatisgarh
8268,Kondagaon,Dhanora,Chhatisgarh
8275,Raigarh,Dharamjaygarh,Chhatisgarh
8280,Balod,Dondi,Chhatisgarh
8286,Balod,Dondilohara,Chhatisgarh
8290,Rajnandgaon,Dongargaon,Chhatisgarh
8372,Rajnandgaon,Dongargarh,Chhatisgarh
8476,Sukma,Doranpal,Chhatisgarh
8478,Durg,Durg,Chhatisgarh
9841,Rajnandgaon,Gandai,Chhatisgarh
10127,Dhamtari,Gattasilli,Chhatisgarh
10166,Bilaspur,Gaurella,Chhatisgarh
10267,Raigarh,Gharghoda,Chhatisgarh
10307,Dantewada,Gidam,Chhatisgarh
10308,Bastar,Jagdalpur,Chhatisgarh
10429,Janjgir,Jaijaipur,Chhatisgarh
10430,Jashpur,Jaspur,Chhatisgarh
10549,Kanker,Kanker,Chhatisgarh
10568,Bastar,Karpawand,Chhatisgarh
10573,Balodabazar,Kasdol,Chhatisgarh
10575,Korba,Katghora,Chhatisgarh
10668,Kabirdham,Kawardha,Chhatisgarh
12121,Kondagaon,Keshkal,Chhatisgarh
12199,Durg,Khamhariya,Chhatisgarh
12346,Raipur,Kharora,Chhatisgarh
12348,Raigarh,Kharsiya,Chhatisgarh
12441,Rajnandgaon,Kheragarh,Chhatisgarh
12715,Kondagaon,Kondagoan,Chhatisgarh
12807,Sukma,Konta,Chhatisgarh
12815,Bilaspur,Kota,Chhatisgarh
12874,Jashpur,Kotba,Chhatisgarh
12901,Jashpur,Kunkuri,Chhatisgarh
12992,Dhamtari,Kurud,Chhatisgarh
13115,Balrampur,Kusmee,Chhatisgarh
13271,Bastar,Lohandiguda,Chhatisgarh
13279,Mungeli,Lormi,Chhatisgarh
13370,Mahasamund,Mahasamund,Chhatisgarh
13483,Koria,Manendragarh,Chhatisgarh
14183,Bastar,Muli,Chhatisgarh
14187,Mungeli,Munguli,Chhatisgarh
17092,Dhamtari,Nagari,Chhatisgarh
17200,Janjgir,Naila,Chhatisgarh
17286,Narayanpur,Narayanpur,Chhatisgarh
17339,Kanker,Narharpur,Chhatisgarh
17340,Raipur,Navagaon,Chhatisgarh
17366,Raipur,Neora,Chhatisgarh
17426,Kabirdham,Pandariya,Chhatisgarh
17827,Durg,Patan,Chhatisgarh
17860,Jashpur,Pathalgaon,Chhatisgarh
18337,Bilaspur,Pendraroad,Chhatisgarh
18768,Kondagaon,Pharasgaon,Chhatisgarh
18769,Kabirdham,Pipriya,Chhatisgarh
18772,Mahasamund,Pirda,Chhatisgarh
18776,Mahasamund,Pithoura,Chhatisgarh
18801,Surajpur,Pratappur,Chhatisgarh
19026,Raigarh,Raigarh,Chhatisgarh
19405,Raipur,Raipur,Chhatisgarh
19733,Rajnandgaon,Rajnandgaon,Chhatisgarh
23329,Balrampur,Rajpur,Chhatisgarh
23337,Balrampur,Ramanujganj,Chhatisgarh
24144,Bilaspur,Ratanpur,Chhatisgarh
24158,Bemetara,Saja,Chhatisgarh
24592,Bilaspur,Sakri,Chhatisgarh
24606,Kanker,Sambalpur,Chhatisgarh
24631,Bemetara,Sambalpur (Bemetra),Chhatisgarh
24647,Raigarh,Sarangarh,Chhatisgarh
24674,Mahasamund,Sarayapali,Chhatisgarh
24726,Mungeli,Sargaon,Chhatisgarh
24727,Janjgir,Shakti,Chhatisgarh
24906,Surguja,Sitapur,Chhatisgarh
25256,Surajpur,Surajpur,Chhatisgarh
25834,Bilaspur,Takhatpur,Chhatisgarh
26221,Bastar,Tokapal,Chhatisgarh
26222,Kondagaon,Vishrampur,Chhatisgarh
0,Delhi,Najafgarh,Delhi
7838,Delhi,Narela,Delhi
14057,Delhi,Shahdara,Delhi
0,Hissar,Adampur,Haryana
350,Hissar,Adampur(Agroha),Haryana
367,Ambala,Ambala Cantt.,Haryana
486,Ambala,Ambala City,Haryana
848,Karnal,Asandh,Haryana
1023,Mahendragarh-Narnaul,Ateli,Haryana
1112,Kurukshetra,Babain,Haryana
1427,Jhajar,Bahadurgarh,Haryana
1585,Faridabad,Ballabhgarh,Haryana
2384,Panipat,Bapauli,Haryana
2596,Ambala,Barara,Haryana
2978,Panchkula,Barwala,Haryana
3337,Hissar,Barwala(Hisar),Haryana
3387,Bhiwani,Behal,Haryana
3449,Jhajar,Beri,Haryana
3450,Fatehabad,Bhattu Kalan,Haryana
3999,Bhiwani,Bhiwani,Haryana
4290,Bhiwani,Bhiwani(Bawani Khera),Haryana
4310,Fatehabad,Bhuna,Haryana
4492,Yamuna Nagar,Bilaspur,Haryana
4953,Bhiwani,Ch. Dadri,Haryana
5125,Kaithal,Cheeka,Haryana
5653,Yamuna Nagar,Chhachhrauli(Khizrabad),Haryana
5848,Yamuna Nagar,Chhachrauli,Haryana
6140,Sirsa,Dabwali,Haryana
6336,Sirsa,Dabwali(Chautala),Haryana
6368,Kaithal,Dhand,Haryana
6732,Fatehabad,Dharsul,Haryana
6802,Sirsa,Ding,Haryana
7063,Sirsa,Ellanabad,Haryana
7526,Faridabad,Faridabad,Haryana
7593,Gurgaon,Farukh Nagar,Haryana
8121,Fatehabad,Fatehabad,Haryana
8814,Sonipat,Ganaur,Haryana
9074,Karnal,Gharaunda,Haryana
9259,Sonipat,Gohana,Haryana
9472,Gurgaon,Gurgaon,Haryana
9732,Hissar,Hansi,Haryana
9932,Hissar,Hansi(Sisai),Haryana
9973,Palwal,Hassanpur,Haryana
10185,Mewat,Hathin,Haryana
10336,Hissar,Hissar,Haryana
10683,Palwal,Hodal,Haryana
11015,Kurukshetra,Iamailabad,Haryana
11190,Karnal,Indri,Haryana
11411,Panipat,Israna,Haryana
11438,Yamuna Nagar,Jagadhri,Haryana
11576,Fatehabad,Jakhal,Haryana
11858,Jhajar,Jhajjar,Haryana
11931,Jind,Jind,Haryana
12233,Bhiwani,Jui,Haryana
12310,Jind,Jullana,Haryana
12632,Karnal,Jundla,Haryana
12927,Kaithal,Kaithal,Haryana
13399,Sirsa,kalanwali,Haryana
14052,Sirsa,Kalawali(Odhan),Haryana
14073,Kaithal,Kalayat,Haryana
14336,Mahendragarh-Narnaul,Khanina,Haryana
14662,Rewari,Kosli,Haryana
14691,Karnal,Kunjpura,Haryana
15113,Kurukshetra,Ladwa,Haryana
15491,Bhiwani,Loharu,Haryana
15655,Bhiwani,Loharu(Dighwa),Haryana
15704,Panipat,Madlauda,Haryana
15980,Rohtak,Meham,Haryana
16078,Mahendragarh-Narnaul,Mohindergarh,Haryana
16096,Ambala,Mullana,Haryana
16525,Ambala,Mullana(saha),Haryana
16571,Yamuna Nagar,Mustafabad,Haryana
