Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1885,1945,1915,16-Dec-19
2,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1825,1995,1910,15-Dec-19
3,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1950,1950,1950,14-Dec-19
4,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1841,1850,1845,12-Dec-19
5,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1870,2040,1955,10-Dec-19
6,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1900,1850,09-Dec-19
7,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1900,1850,08-Dec-19
8,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1850,1922,1866,05-Dec-19
9,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1850,1850,1850,03-Dec-19
10,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1850,2300,2075,02-Dec-19
11,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1900,1940,1920,01-Dec-19
12,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1850,1850,1850,18-Nov-19
13,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1825,1950,1887,16-Nov-19
14,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1876,1838,10-Nov-19
15,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1900,1850,08-Nov-19
16,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1900,1850,22-Oct-19
17,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1815,1960,1887,21-Oct-19
18,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1790,1905,1847,17-Oct-19
19,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1941,1870,15-Oct-19
20,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1750,1820,1785,10-Oct-19
21,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1770,1891,1830,08-Oct-19
22,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1770,1821,1795,30-Sep-19
23,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1892,1892,1892,29-Sep-19
24,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1740,1740,1740,28-Sep-19
25,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1825,1921,1873,24-Sep-19
26,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1800,1800,22-Sep-19
27,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,1900,1850,21-Sep-19
28,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1850,1850,1850,20-Sep-19
29,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1880,1925,1902,19-Sep-19
30,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1880,1935,1907,17-Sep-19
31,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2100,2100,2100,05-Sep-19
32,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1800,2215,2007,03-Sep-19
33,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2140,2140,2140,01-Sep-19
34,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2110,2110,2110,29-Aug-19
35,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2001,2001,2001,27-Aug-19
36,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2200,2200,2200,23-Aug-19
37,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2175,2175,2175,22-Aug-19
38,Delhi,Najafgarh,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,2010,2010,2010,20-Aug-19
