Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,21-Dec-16
2,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1380,1380,1380,08-Dec-16
3,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,07-Dec-16
4,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1175,1175,1175,25-Oct-12
5,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,10620,12250,11560,07-Feb-12
6,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,750,750,25-Jan-11
7,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,750,750,22-Jan-11
8,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,725,725,725,04-Jan-11
9,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,700,700,01-Jan-11
10,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,750,750,27-Dec-10
11,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,800,800,22-Dec-10
12,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,765,710,20-Dec-10
13,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,470,575,560,08-Dec-10
14,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,700,700,27-Nov-10
15,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,765,765,765,09-Nov-10
16,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,770,770,770,08-Nov-10
17,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,780,750,01-Nov-10
18,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,770,770,770,20-Oct-10
19,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,880,880,880,19-Oct-10
20,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,880,880,880,18-Oct-10
21,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,880,880,880,16-Oct-10
22,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,880,880,880,15-Oct-10
23,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,785,880,880,14-Oct-10
24,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,880,880,880,13-Oct-10
25,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,761,794,780,09-Oct-10
26,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,786,799,787,08-Oct-10
27,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,751,784,763,07-Oct-10
28,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,770,783,771,06-Oct-10
29,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,771,784,781,05-Oct-10
30,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,762,806,791,04-Oct-10
31,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,791,821,810,02-Oct-10
32,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,796,814,811,01-Oct-10
33,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,784,816,811,30-Sep-10
34,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,761,791,774,29-Sep-10
35,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,719,784,745,28-Sep-10
36,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,678,800,749,27-Sep-10
37,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,828,858,835,25-Sep-10
38,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,810,849,836,24-Sep-10
39,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,826,837,826,21-Sep-10
40,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,790,828,814,20-Sep-10
41,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,800,800,18-Sep-10
42,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2030,2225,2175,17-Aug-10
43,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,900,900,09-Nov-09
44,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,864,864,864,03-Nov-09
45,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,850,800,12-Oct-09
46,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,800,800,25-Sep-09
47,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,800,800,24-Sep-09
48,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,750,750,23-Sep-09
49,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1253,1253,1253,18-Sep-09
50,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,705,731,713,05-Sep-09
51,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,825,835,0,25-Aug-09
52,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2947,2910,02-Apr-09
53,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,100,150,125,19-Mar-09
54,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,610,610,610,18-Dec-08
55,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1440,1560,1520,21-Nov-08
56,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,707,707,707,10-Nov-08
57,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,700,700,23-Oct-08
58,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,840,840,0,01-Oct-08
59,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,840,840,840,28-Sep-08
60,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,740,740,740,27-Sep-08
61,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,840,840,840,26-Sep-08
62,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,715,745,735,25-Sep-08
63,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,703,735,721,24-Sep-08
64,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,745,771,750,23-Sep-08
65,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,759,750,22-Sep-08
66,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,760,755,20-Sep-08
67,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,715,715,715,19-Sep-08
68,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,763,763,18-Sep-08
69,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,761,775,770,17-Sep-08
70,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,760,765,765,16-Sep-08
71,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,751,787,771,15-Sep-08
72,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,732,717,11-Sep-08
73,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,675,700,0,09-Sep-08
74,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,650,650,650,03-Sep-08
75,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,651,640,26-Aug-08
76,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,660,660,660,24-Jul-08
77,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2570,2641,2596,06-Jun-08
78,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,748,752,750,29-Mar-08
79,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,580,600,600,28-Mar-08
80,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,550,550,0,14-Mar-08
81,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,625,625,625,13-Feb-08
82,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,625,625,625,11-Feb-08
83,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,585,610,600,19-Dec-07
84,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,570,570,570,12-Dec-07
85,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,600,600,10-Dec-07
86,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,580,580,580,27-Nov-07
87,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,601,601,601,20-Nov-07
88,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,605,605,605,19-Nov-07
89,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,611,611,611,16-Nov-07
90,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,550,620,0,15-Nov-07
91,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,561,620,610,13-Nov-07
92,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,600,600,31-Oct-07
93,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,605,608,0,29-Oct-07
94,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,581,611,591,11-Oct-07
95,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,550,585,565,10-Oct-07
96,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,548,580,562,09-Oct-07
97,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,565,587,571,08-Oct-07
98,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,550,593,575,06-Oct-07
99,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,578,600,580,05-Oct-07
100,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,580,613,600,04-Oct-07
101,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,565,622,591,02-Oct-07
102,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,543,597,570,01-Oct-07
103,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,550,597,575,29-Sep-07
104,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,549,593,565,28-Sep-07
105,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,501,587,562,27-Sep-07
106,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,540,583,575,26-Sep-07
107,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,552,575,573,25-Sep-07
108,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,575,581,579,24-Sep-07
109,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,572,581,575,22-Sep-07
110,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,552,588,572,21-Sep-07
111,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,565,583,575,20-Sep-07
112,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,543,570,543,19-Sep-07
113,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,549,581,575,18-Sep-07
114,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,561,599,596,17-Sep-07
115,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,617,617,617,12-Sep-07
116,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,611,611,611,11-Sep-07
117,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,611,0,10-Sep-07
118,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,600,600,01-Sep-07
119,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,613,600,31-Aug-07
120,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,600,600,22-Aug-07
121,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,600,600,21-Aug-07
122,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,570,570,570,20-Aug-07
123,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,560,594,0,16-Aug-07
124,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1595,1696,1665,15-Aug-07
125,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,575,575,575,14-Aug-07
126,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,616,616,616,27-Jul-07
127,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,600,600,24-Jul-07
128,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1533,1656,1600,20-Jul-07
129,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,686,714,713,02-Apr-07
130,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,694,701,695,31-Mar-07
131,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,630,630,630,24-Mar-07
132,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,260,280,0,15-Mar-07
133,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,610,0,07-Mar-07
134,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Other,FAQ,600,600,600,01-Mar-07
135,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,630,630,630,09-Feb-07
136,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,580,610,0,08-Feb-07
137,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,600,600,600,06-Feb-07
138,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,600,600,600,05-Feb-07
139,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,580,582,0,01-Feb-07
140,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,640,640,640,23-Dec-06
141,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,633,633,633,22-Dec-06
142,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,660,660,660,20-Dec-06
143,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,651,651,651,18-Dec-06
144,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,660,660,660,08-Dec-06
145,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,680,680,680,17-Nov-06
146,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,675,675,675,14-Nov-06
147,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,700,700,700,13-Nov-06
148,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,681,693,686,11-Nov-06
149,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,685,686,0,10-Nov-06
150,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,658,675,0,09-Nov-06
151,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,670,680,0,08-Nov-06
152,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,675,676,0,06-Nov-06
153,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,650,658,0,03-Nov-06
154,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,636,647,640,02-Nov-06
155,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,624,650,0,01-Nov-06
156,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,600,640,0,31-Oct-06
157,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,634,645,639,28-Oct-06
158,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,625,640,636,27-Oct-06
159,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,612,625,619,26-Oct-06
160,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,592,599,597,25-Oct-06
161,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,552,606,596,24-Oct-06
162,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,525,602,556,23-Oct-06
163,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,570,591,580,20-Oct-06
164,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,551,589,575,19-Oct-06
165,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,581,588,584,18-Oct-06
166,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,590,595,591,17-Oct-06
167,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,532,595,574,16-Oct-06
168,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,582,598,586,14-Oct-06
169,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,511,570,563,13-Oct-06
170,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,563,580,570,12-Oct-06
171,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,571,585,580,11-Oct-06
172,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,570,588,579,10-Oct-06
173,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,573,592,588,09-Oct-06
174,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,591,593,592,07-Oct-06
175,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,586,594,591,06-Oct-06
176,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,592,597,594,05-Oct-06
177,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,590,600,595,04-Oct-06
178,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,590,606,600,03-Oct-06
179,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,588,600,589,30-Sep-06
180,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,586,601,596,29-Sep-06
181,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,583,588,585,28-Sep-06
182,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,577,597,582,27-Sep-06
183,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,596,600,598,26-Sep-06
184,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,576,592,586,25-Sep-06
185,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,529,591,586,23-Sep-06
186,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,579,603,597,22-Sep-06
187,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,561,607,599,21-Sep-06
188,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,550,585,561,20-Sep-06
189,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,515,569,547,19-Sep-06
190,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,537,569,551,18-Sep-06
191,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,578,586,583,16-Sep-06
192,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,576,587,582,15-Sep-06
193,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,512,584,555,14-Sep-06
194,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,541,581,567,12-Sep-06
195,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,569,600,587,11-Sep-06
196,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,525,595,572,09-Sep-06
197,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,597,616,610,08-Sep-06
198,Hissar,Adampur,Bajra(Pearl Millet/Cumbu),Local,FAQ,638,650,646,07-Sep-06
