Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,960,960,960,18-Aug-10
2,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,900,850,21-Jun-10
3,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,850,800,16-Jun-10
4,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,980,980,980,17-Mar-10
5,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,948,948,948,16-Mar-10
6,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,950,950,950,15-Mar-10
7,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,970,980,975,12-Mar-10
8,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,980,980,980,10-Mar-10
9,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,970,970,970,09-Mar-10
10,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,970,980,975,08-Mar-10
11,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,970,980,975,06-Mar-10
12,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,970,980,975,05-Mar-10
13,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,965,990,983,04-Mar-10
14,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,980,980,980,03-Mar-10
15,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,990,990,990,02-Mar-10
16,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1000,1000,27-Feb-10
17,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1000,1000,26-Feb-10
18,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1000,1000,25-Feb-10
19,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1000,1000,24-Feb-10
20,Ratlam,A lot,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1000,1000,23-Feb-10
