Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thirunelveli,Ambasamudram,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1700,1600,26-Nov-12
2,Thirunelveli,Ambasamudram,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1600,1500,23-Nov-12
3,Thirunelveli,Ambasamudram,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1600,1500,22-Nov-12
4,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,1980,12-Dec-19
5,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,2000,11-Dec-19
6,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,04-Dec-19
7,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,2000,02-Dec-19
8,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,1970,26-Nov-19
9,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,2000,22-Nov-19
10,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,19-Nov-19
11,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,18-Nov-19
12,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,13-Nov-19
13,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,11-Nov-19
14,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1825,1725,05-Nov-19
15,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1760,1700,04-Nov-19
16,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1821,1819,12-Dec-18
17,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1907,1850,15-Nov-18
18,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1425,1383,20-Apr-18
19,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1420,1425,1423,19-Apr-18
20,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1440,1430,13-Feb-18
21,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1141,1216,1163,18-Jan-18
22,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,926,1139,1100,12-Jan-18
23,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1121,1139,1129,11-Jan-18
24,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1501,1545,1529,27-Dec-17
