Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1305,1305,1305,23-Sep-18
2,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1102,1102,1102,15-Dec-17
3,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1136,1136,1136,10-Dec-17
4,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1089,1089,1089,22-Oct-17
5,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1072,1072,1072,25-Sep-17
6,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1502,1502,1502,21-Nov-16
7,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1201,1201,1201,10-Nov-16
8,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1206,1206,1206,08-Nov-16
9,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1270,1303,1270,07-Nov-16
10,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1231,1231,1231,03-Nov-16
11,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1201,1236,1211,02-Nov-16
12,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1162,1272,1217,01-Nov-16
13,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,980,1335,1250,31-Oct-16
14,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1201,1201,1201,28-Oct-16
15,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1106,1251,1217,27-Oct-16
16,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1216,1216,1216,26-Oct-16
17,Mahbubnagar,Achampet,Bajra(Pearl Millet/Cumbu),Local,Medium,1206,1206,1206,25-Oct-16
