Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7200,7400,7300,30-Oct-18
2,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,9700,9800,9750,14-Sep-18
3,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (New),FAQ,9600,9700,9650,14-Sep-18
4,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (New),FAQ,9500,9600,9550,13-Sep-18
5,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,9700,9800,9750,13-Sep-18
6,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,9700,9800,9750,12-Sep-18
7,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (New),FAQ,9500,9600,9550,12-Sep-18
8,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (New),FAQ,9500,9600,9550,11-Sep-18
9,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,9700,9800,9750,11-Sep-18
10,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,9700,9900,9800,30-Aug-18
11,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (New),FAQ,9500,9700,9600,30-Aug-18
12,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7200,7600,7400,29-Aug-18
13,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7200,7600,7400,28-Aug-18
14,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7200,7600,7400,27-Aug-18
15,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7200,7600,7400,25-Aug-18
16,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7200,7600,7400,24-Aug-18
17,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,18-Aug-18
18,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,17-Aug-18
19,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,07-Aug-18
20,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,06-Aug-18
21,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,04-Aug-18
22,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,27-Jul-18
23,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,26-Jul-18
24,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7200,7200,7200,17-Jul-18
25,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7600,7500,16-Jul-18
26,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,14-Jul-18
27,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,02-Jul-18
28,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,29-Jun-18
29,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,28-Jun-18
30,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,19-Jun-18
31,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7600,7500,18-Jun-18
32,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7400,7400,13-Jun-18
33,Jammu,Jammu (Grain Mandi),Rice,Basmati U.P. (Old),FAQ,7400,7800,7600,12-Jun-18
