Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangli,Aatpadi,Rice,1009 Kar,FAQ,1000,3500,2000,25-Feb-12
2,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,04-Sep-14
3,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1800,1825,1813,14-Aug-14
4,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1800,1810,1805,07-Aug-14
5,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1725,1712,24-Jul-14
6,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,10-Jul-14
7,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,17-Oct-13
8,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,12-Oct-13
9,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,11-Oct-13
10,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,10-Oct-13
11,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,09-Oct-13
12,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,03-Oct-13
13,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,01-Oct-13
14,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1750,1700,30-Sep-13
15,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1750,1700,28-Sep-13
16,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1750,1700,27-Sep-13
17,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1750,1700,26-Sep-13
18,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1640,1700,1670,25-Sep-13
19,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,23-Sep-13
20,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1620,1700,1660,19-Sep-13
21,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1650,1625,17-Sep-13
22,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,16-Sep-13
23,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,14-Sep-13
24,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1780,1740,12-Sep-13
25,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,10-Sep-13
26,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,05-Aug-13
27,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,03-Aug-13
28,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1670,1660,02-Aug-13
29,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1670,1660,01-Aug-13
30,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,30-Jul-13
31,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1750,1675,29-Jul-13
32,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1750,1700,26-Jul-13
33,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,24-Jul-13
34,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1800,1700,22-Jul-13
35,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,20-Jul-13
36,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,18-Jul-13
37,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1780,1740,17-Jul-13
38,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1800,1750,16-Jul-13
39,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1800,1750,13-Jul-13
40,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1800,1750,12-Jul-13
41,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1800,1750,11-Jul-13
42,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,10-Jul-13
43,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1760,1800,1780,06-Jul-13
44,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,05-Jul-13
45,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,04-Jul-13
46,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1800,1750,02-Jul-13
47,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1800,1750,01-Jul-13
48,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1750,1800,1775,29-Jun-13
49,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,26-Jun-13
50,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,25-Jun-13
51,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1680,1790,1745,24-Jun-13
52,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1680,1790,1745,22-Jun-13
53,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,21-Jun-13
54,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,20-Jun-13
55,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1750,1625,19-Jun-13
56,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1750,1625,18-Jun-13
57,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1780,1640,17-Jun-13
58,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1750,1800,1775,15-Jun-13
59,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,14-Jun-13
60,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1800,1700,13-Jun-13
61,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,12-Jun-13
62,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,10-Jun-13
63,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,07-Jun-13
64,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,06-Jun-13
65,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1750,1725,03-Jun-13
66,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1700,1600,01-Jun-13
67,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1800,1675,29-May-13
68,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1750,1800,1775,23-May-13
69,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1700,1800,1750,22-May-13
70,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,21-May-13
71,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,20-May-13
72,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1650,1700,1675,18-May-13
73,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1700,1650,16-May-13
74,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1550,1650,1600,13-May-13
75,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1600,1550,10-May-13
76,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1600,1550,09-May-13
77,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1670,1635,08-May-13
78,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1650,1625,07-May-13
79,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1650,1625,06-May-13
80,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1550,1600,1575,03-May-13
81,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1650,1625,02-May-13
82,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1675,1640,01-May-13
83,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1650,1625,30-Apr-13
84,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1680,1640,29-Apr-13
85,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1680,1640,27-Apr-13
86,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1600,1680,1640,25-Apr-13
87,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1650,1575,22-Apr-13
88,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1500,1650,1575,19-Apr-13
89,Amarawati,Achalpur,Rice,1009 Kar,FAQ,1550,1650,1600,17-Apr-13
