Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4800,4700,31-Dec-19
2,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4800,4700,30-Dec-19
3,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4800,4700,28-Dec-19
4,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4800,4700,27-Dec-19
5,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4800,4700,26-Dec-19
6,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4800,4700,24-Dec-19
7,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,23-Dec-19
8,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,21-Dec-19
9,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,20-Dec-19
10,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,18-Dec-19
11,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,17-Dec-19
12,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,16-Dec-19
13,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,13-Dec-19
14,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,11-Dec-19
15,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,07-Dec-19
16,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,06-Dec-19
17,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,05-Dec-19
18,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,04-Dec-19
19,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,03-Dec-19
20,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,02-Dec-19
21,Bishnupur,Bishenpur,Rice,Other,FAQ,4000,5000,4000,30-Nov-19
22,Bishnupur,Bishenpur,Rice,Other,FAQ,4000,5000,4000,29-Nov-19
23,Bishnupur,Bishenpur,Rice,Other,FAQ,4000,5000,4000,28-Nov-19
24,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,5000,4900,27-Nov-19
25,Bishnupur,Bishenpur,Rice,Other,FAQ,4000,5000,4000,26-Nov-19
26,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,25-Nov-19
27,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,23-Nov-19
28,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,22-Nov-19
29,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,21-Nov-19
30,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,20-Nov-19
31,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,18-Nov-19
32,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,16-Nov-19
33,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,15-Nov-19
34,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,14-Nov-19
35,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,13-Nov-19
36,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,12-Nov-19
37,Bishnupur,Bishenpur,Rice,Other,FAQ,4900,4900,4900,11-Nov-19
38,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,08-Nov-19
39,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,07-Nov-19
40,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,06-Nov-19
41,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,05-Nov-19
42,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,04-Nov-19
43,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,02-Nov-19
44,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,29-Oct-19
45,Bishnupur,Bishenpur,Rice,Other,FAQ,4700,4700,4700,26-Oct-19
46,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,25-Oct-19
47,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,24-Oct-19
48,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,23-Oct-19
49,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,22-Oct-19
50,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,21-Oct-19
51,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,19-Oct-19
52,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,18-Oct-19
53,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,17-Oct-19
54,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,16-Oct-19
55,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,14-Oct-19
56,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,11-Oct-19
57,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,10-Oct-19
58,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,09-Oct-19
59,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,08-Oct-19
60,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,07-Oct-19
61,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,05-Oct-19
62,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,04-Oct-19
63,Bishnupur,Bishenpur,Rice,Other,FAQ,4400,4400,4400,03-Oct-19
