Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,South Garo Hills,Baghmara,Rice,Other,FAQ,1200,1400,1250,01-Apr-04
2,South Garo Hills,Baghmara,Rice,Other,FAQ,1650,1800,1670,17-Dec-03
3,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,30-Oct-18
4,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,23-Oct-18
5,West Garo Hills,Garobadha,Rice,Other,FAQ,2200,2400,2300,02-Oct-18
6,West Garo Hills,Garobadha,Rice,Other,FAQ,2200,2400,2300,25-Sep-18
7,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,18-Sep-18
8,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,12-Sep-18
9,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,11-Sep-18
10,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,04-Sep-18
11,West Garo Hills,Garobadha,Rice,Other,FAQ,2200,2400,2300,28-Aug-18
12,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,21-Aug-18
13,West Garo Hills,Garobadha,Rice,Other,FAQ,2200,2500,2350,14-Aug-18
14,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,07-Aug-18
15,West Garo Hills,Garobadha,Rice,Other,FAQ,2400,2600,2500,26-Jun-18
16,West Garo Hills,Garobadha,Rice,Other,FAQ,2400,2600,2500,19-Jun-18
17,West Garo Hills,Garobadha,Rice,Other,FAQ,2400,2600,2500,12-Jun-18
18,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,05-Jun-18
19,West Garo Hills,Garobadha,Rice,Other,FAQ,2400,2600,2500,29-May-18
20,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,22-May-18
21,West Garo Hills,Garobadha,Rice,Other,FAQ,2600,2800,2700,15-May-18
22,West Garo Hills,Garobadha,Rice,Other,FAQ,2400,2600,2500,08-May-18
23,West Garo Hills,Garobadha,Rice,Other,FAQ,2400,2600,2500,01-May-18
24,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,24-Apr-18
25,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,17-Apr-18
26,West Garo Hills,Garobadha,Rice,Other,FAQ,2600,2800,2700,10-Apr-18
27,West Garo Hills,Garobadha,Rice,Other,FAQ,2600,2800,2700,03-Apr-18
28,West Garo Hills,Garobadha,Rice,Other,FAQ,2600,2800,2700,27-Mar-18
29,West Garo Hills,Garobadha,Rice,Other,FAQ,2600,2800,2700,20-Mar-18
30,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,13-Mar-18
31,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,06-Mar-18
32,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2350,26-Feb-18
33,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,21-Feb-18
34,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,20-Feb-18
35,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,13-Feb-18
36,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2500,2400,30-Jan-18
37,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,23-Jan-18
38,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,16-Jan-18
39,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,09-Jan-18
40,West Garo Hills,Garobadha,Rice,Other,FAQ,2300,2400,2350,19-Dec-17
