Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,08-Oct-15
2,Fazilka,Abohar,Rice,Other,FAQ,1450,1455,1450,07-Oct-15
3,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,06-Oct-15
4,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,05-Oct-15
5,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,04-Oct-15
6,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,03-Oct-15
7,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,02-Oct-15
8,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2080,2300,2185,07-Jan-15
9,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2205,2400,2360,22-Dec-14
10,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,1850,2535,2271,12-Dec-14
11,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,1650,2498,2350,09-Dec-14
12,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2100,2485,2350,08-Dec-14
13,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,1950,2450,2320,05-Dec-14
14,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,1960,2405,2215,04-Dec-14
15,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2000,2350,2210,02-Dec-14
16,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2060,2400,2250,01-Dec-14
17,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2200,2425,2350,29-Nov-14
18,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2325,2550,2450,28-Nov-14
19,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2150,2705,2525,27-Nov-14
20,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2150,2725,2605,26-Nov-14
21,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2100,2700,2570,25-Nov-14
22,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2145,2725,2620,24-Nov-14
23,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2040,2751,2500,22-Nov-14
24,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2135,2670,2525,21-Nov-14
25,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2060,2750,2630,20-Nov-14
26,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2060,2750,2630,19-Nov-14
27,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2000,2870,2730,18-Nov-14
28,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2170,2918,2800,17-Nov-14
29,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,1825,2750,2625,16-Nov-14
30,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,1851,2775,2625,15-Nov-14
31,Fazilka,Abohar,Rice,Basmati Paddy,FAQ,2100,2750,2625,14-Nov-14
32,Amritsar,Ajnala,Rice,Other,FAQ,1500,1750,1625,29-Nov-02
33,Amritsar,Ajnala,Rice,Other,FAQ,1470,1670,1570,26-Nov-02
34,Amritsar,Ajnala,Rice,Other,FAQ,1400,1600,1500,14-Nov-02
35,Amritsar,Ajnala,Rice,Other,FAQ,1263,1601,1432,13-Nov-02
36,Amritsar,Ajnala,Rice,Other,FAQ,1300,1500,1400,12-Nov-02
37,Amritsar,Ajnala,Rice,Other,FAQ,1265,1483,1374,11-Nov-02
38,Amritsar,Ajnala,Rice,Other,FAQ,1264,1482,1373,08-Nov-02
39,Amritsar,Ajnala,Rice,Other,FAQ,1200,1400,1300,07-Nov-02
40,Amritsar,Ajnala,Rice,Other,FAQ,1050,1350,1200,06-Nov-02
41,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2100,2135,2100,30-Dec-15
42,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2100,2215,2185,29-Dec-15
43,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2130,2225,2175,25-Dec-15
44,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2000,2235,2145,24-Dec-15
45,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2100,2235,2175,17-Dec-15
46,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,1575,2230,2150,16-Dec-15
47,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2015,2245,2170,15-Dec-15
48,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,1575,2230,2150,14-Dec-15
49,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2000,2260,2125,13-Dec-15
50,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2225,2500,2335,12-Dec-15
