Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sirohi,Abu Road,Rice,Other,FAQ,800,1100,960,21-Sep-06
2,Sirohi,Abu Road,Rice,Other,FAQ,1000,1100,1050,20-Sep-06
3,Sirohi,Abu Road,Rice,Other,FAQ,600,700,640,06-Sep-06
4,Ajmer,Beawar,Rice,Coarse,FAQ,2000,2100,2080,28-Aug-14
5,Ajmer,Beawar,Rice,Coarse,FAQ,2000,2100,2070,27-Aug-14
6,Ajmer,Beawar,Rice,Other,FAQ,1950,2020,1980,28-Mar-14
7,Ajmer,Beawar,Rice,Coarse,FAQ,1870,1960,1920,29-Aug-13
8,Ajmer,Beawar,Rice,Coarse,FAQ,1860,1960,1900,29-Jul-13
9,Ajmer,Beawar,Rice,Coarse,FAQ,1850,1920,1890,29-Jun-13
10,Ajmer,Beawar,Rice,Coarse,FAQ,1825,1900,1875,30-May-13
11,Ajmer,Beawar,Rice,Coarse,FAQ,1850,1900,1875,30-Apr-13
12,Bhilwara,Bhilwara,Rice,Other,FAQ,900,1051,975,04-Nov-11
13,Ajmer,Bijay Nagar,Rice,Fine,FAQ,2440,3470,2775,21-Feb-14
14,Ajmer,Bijay Nagar,Rice,Coarse,FAQ,1975,2350,2170,21-Feb-14
15,Ajmer,Bijay Nagar,Rice,Super Fine,FAQ,3960,5460,4500,21-Feb-14
16,Ajmer,Bijay Nagar,Rice,Super Fine,FAQ,4260,5570,4780,19-Nov-13
17,Ajmer,Bijay Nagar,Rice,Coarse,FAQ,1870,2350,2240,19-Nov-13
18,Ajmer,Bijay Nagar,Rice,Fine,FAQ,2450,3300,2800,19-Nov-13
19,Ajmer,Bijay Nagar,Rice,Fine,FAQ,1950,3700,2580,02-Jan-13
20,Ajmer,Bijay Nagar,Rice,Coarse,FAQ,1490,1870,1670,02-Jan-13
21,Ajmer,Bijay Nagar,Rice,Super Fine,FAQ,2740,4150,3760,02-Jan-13
22,Ajmer,Bijay Nagar,Rice,Coarse,FAQ,1445,1850,1575,21-Aug-12
23,Ajmer,Bijay Nagar,Rice,Fine,FAQ,2180,3960,2875,21-Aug-12
