Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,22-Aug-06
2,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,19-Aug-06
3,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,15-Aug-06
4,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,12-Aug-06
5,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,08-Aug-06
6,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,05-Aug-06
7,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,01-Aug-06
8,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,29-Jul-06
9,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,25-Jul-06
10,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,22-Jul-06
11,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,18-Jul-06
12,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,15-Jul-06
13,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,11-Jul-06
14,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,08-Jul-06
15,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,04-Jul-06
16,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,01-Jul-06
17,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,27-Jun-06
18,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,24-Jun-06
19,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,20-Jun-06
20,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,17-Jun-06
21,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,13-Jun-06
22,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,10-Jun-06
23,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,30-May-06
24,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,27-May-06
25,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,23-May-06
26,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,20-May-06
27,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,16-May-06
28,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,13-May-06
29,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,09-May-06
30,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,06-May-06
31,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,02-May-06
32,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,25-Apr-06
33,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,22-Apr-06
34,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,18-Apr-06
35,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,15-Apr-06
36,Khowai,Bachaibari,Rice,Other,FAQ,1150,1200,1175,11-Apr-06
37,Khowai,Bachaibari,Rice,Other,FAQ,1100,1150,1125,08-Apr-06
38,Khowai,Bachaibari,Rice,Other,FAQ,1100,1150,1125,04-Apr-06
39,Khowai,Bachaibari,Rice,Other,FAQ,1100,1150,1125,01-Apr-06
