Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,01-Jan-20
2,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,31-Dec-19
3,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2300,2400,2350,30-Dec-19
4,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2300,2250,29-Dec-19
5,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2400,2500,2450,28-Dec-19
6,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2400,2500,2450,27-Dec-19
7,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2400,2500,2450,24-Dec-19
8,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2400,2500,2450,23-Dec-19
9,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2300,2500,2400,22-Dec-19
10,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2400,2500,2450,21-Dec-19
11,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2400,2500,2450,20-Dec-19
12,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2350,19-Dec-19
13,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,18-Dec-19
14,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,17-Dec-19
15,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,16-Dec-19
16,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,15-Dec-19
17,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,14-Dec-19
18,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,13-Dec-19
19,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,10-Dec-19
20,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,09-Dec-19
21,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,08-Dec-19
22,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,07-Dec-19
23,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,02-Dec-19
24,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,01-Dec-19
25,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,30-Nov-19
26,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,27-Nov-19
27,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,26-Nov-19
28,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,25-Nov-19
29,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2450,2200,24-Nov-19
30,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,23-Nov-19
31,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,22-Nov-19
32,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,21-Nov-19
33,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2400,2200,20-Nov-19
34,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,19-Nov-19
35,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,18-Nov-19
36,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,17-Nov-19
37,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,16-Nov-19
38,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,14-Nov-19
39,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,13-Nov-19
40,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,12-Nov-19
41,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,11-Nov-19
42,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,10-Nov-19
43,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,09-Nov-19
44,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2300,08-Nov-19
45,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2300,07-Nov-19
46,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2300,06-Nov-19
47,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2300,04-Nov-19
48,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2300,03-Nov-19
49,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2300,02-Nov-19
50,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2500,2300,01-Nov-19
51,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,28-Oct-19
52,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,26-Oct-19
53,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,25-Oct-19
54,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2400,2250,24-Oct-19
55,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,23-Oct-19
56,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,22-Oct-19
57,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,21-Oct-19
58,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,20-Oct-19
59,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,19-Oct-19
60,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2400,2250,18-Oct-19
61,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,17-Oct-19
62,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,16-Oct-19
63,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,15-Oct-19
64,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,14-Oct-19
65,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,13-Oct-19
66,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,12-Oct-19
67,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,11-Oct-19
68,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,10-Oct-19
69,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,09-Oct-19
70,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,08-Oct-19
71,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,07-Oct-19
72,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,05-Oct-19
73,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,04-Oct-19
74,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,03-Oct-19
75,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,01-Oct-19
76,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2200,2400,2300,30-Sep-19
77,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,29-Sep-19
78,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,28-Sep-19
79,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,27-Sep-19
80,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,26-Sep-19
81,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,25-Sep-19
82,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2450,2250,24-Sep-19
83,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,23-Sep-19
84,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,21-Sep-19
85,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,19-Sep-19
86,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,18-Sep-19
87,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,17-Sep-19
88,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,16-Sep-19
89,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,14-Sep-19
90,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,13-Sep-19
91,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,12-Sep-19
92,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2400,2250,10-Sep-19
93,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,09-Sep-19
94,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2300,2200,08-Sep-19
95,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2500,2500,2500,07-Sep-19
96,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2100,2100,2100,06-Sep-19
