Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Visakhapatnam,Anakapally,Wheat,Lok-1,FAQ,1400,1600,1500,27-Jun-09
2,Visakhapatnam,Anakapally,Wheat,Lok-1,FAQ,1200,1350,1250,13-Jun-07
3,Cuddapah,Cuddapah,Wheat,Other,FAQ,1625,1680,1653,13-May-14
4,Cuddapah,Cuddapah,Wheat,Other,FAQ,1500,1560,1530,12-May-14
5,Cuddapah,Cuddapah,Wheat,Other,FAQ,1500,1600,1550,10-May-14
6,Cuddapah,Cuddapah,Wheat,Other,FAQ,1548,1610,1579,20-Mar-14
7,Cuddapah,Cuddapah,Wheat,Other,FAQ,1545,1551,1548,19-Mar-14
8,Cuddapah,Cuddapah,Wheat,Other,FAQ,1551,1642,1596,15-Mar-14
9,Cuddapah,Cuddapah,Wheat,Other,FAQ,1575,1918,1746,13-Mar-14
10,Cuddapah,Cuddapah,Wheat,Other,FAQ,1600,1800,1700,12-Mar-14
11,Cuddapah,Cuddapah,Wheat,Other,FAQ,1550,1816,1701,11-Mar-14
12,Cuddapah,Cuddapah,Wheat,Other,FAQ,1575,1600,1587,04-Mar-14
13,Cuddapah,Cuddapah,Wheat,Other,FAQ,1560,1625,1593,01-Mar-14
14,Cuddapah,Cuddapah,Wheat,Other,FAQ,1650,1674,1662,25-Feb-14
15,Cuddapah,Cuddapah,Wheat,Other,FAQ,1650,1674,1662,24-Feb-14
16,Cuddapah,Cuddapah,Wheat,Other,FAQ,1700,1741,1720,21-Feb-14
17,Cuddapah,Cuddapah,Wheat,Other,FAQ,1950,2000,1975,13-Feb-14
18,Cuddapah,Cuddapah,Wheat,Other,FAQ,1800,1820,1810,08-Feb-14
19,Cuddapah,Cuddapah,Wheat,Other,FAQ,1000,1100,1050,30-Jun-11
20,Cuddapah,Cuddapah,Wheat,Other,FAQ,1000,1050,1025,29-Jun-11
21,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1075,1050,06-Aug-08
22,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1120,1180,1150,06-Aug-08
23,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1125,1175,1125,05-Aug-08
24,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1050,1025,05-Aug-08
25,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1025,1050,1030,04-Aug-08
26,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1100,1160,1150,04-Aug-08
27,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1125,1174,1150,02-Aug-08
28,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1100,1050,02-Aug-08
29,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1100,1050,01-Aug-08
30,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1125,1175,1150,01-Aug-08
31,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1100,1175,1150,31-Jul-08
32,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1100,1050,31-Jul-08
33,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1070,1050,30-Jul-08
34,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1100,1175,1150,30-Jul-08
35,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1150,1120,29-Jul-08
36,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1040,1020,29-Jul-08
37,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1040,1022,26-Jul-08
38,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1150,1120,26-Jul-08
39,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1150,1130,25-Jul-08
40,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1040,1020,25-Jul-08
41,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1040,1020,24-Jul-08
42,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1150,1100,24-Jul-08
43,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1150,1130,23-Jul-08
44,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1100,1050,23-Jul-08
45,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1050,1025,22-Jul-08
46,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1100,1150,1125,22-Jul-08
47,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1125,1075,19-Jul-08
48,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1050,1025,19-Jul-08
49,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1000,1040,1030,18-Jul-08
50,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1010,1030,1020,18-Jul-08
51,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1160,1120,18-Jul-08
52,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1150,1100,17-Jul-08
53,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1010,1040,1030,17-Jul-08
54,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,17-Jul-08
55,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1000,1040,1020,16-Jul-08
56,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1010,1050,1030,16-Jul-08
57,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1150,1100,16-Jul-08
58,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,15-Jul-08
59,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1020,1040,1030,15-Jul-08
60,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1040,1020,15-Jul-08
61,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1020,1040,1030,13-Jul-08
62,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1040,1020,13-Jul-08
63,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1080,13-Jul-08
64,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,10-Jul-08
65,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1010,1040,1020,10-Jul-08
66,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,10-Jul-08
67,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1010,1040,1025,09-Jul-08
68,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,09-Jul-08
69,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,09-Jul-08
70,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,05-Jul-08
71,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1020,1040,1030,05-Jul-08
72,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,05-Jul-08
73,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1020,1040,1030,04-Jul-08
74,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,04-Jul-08
75,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,04-Jul-08
76,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,02-Jul-08
77,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1020,1040,1030,02-Jul-08
78,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,02-Jul-08
79,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1000,1040,1020,01-Jul-08
80,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,01-Jul-08
81,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1200,1150,01-Jul-08
82,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,27-Jun-08
83,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1000,1020,1010,27-Jun-08
84,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,27-Jun-08
85,Cuddapah,Cuddapah,Wheat,Dara,FAQ,1100,1120,1110,26-Jun-08
86,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,26-Jun-08
87,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,26-Jun-08
88,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,25-Jun-08
89,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,25-Jun-08
90,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,24-Jun-08
91,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,24-Jun-08
92,Cuddapah,Cuddapah,Wheat,Farmi,FAQ,1050,1100,1075,21-Jun-08
93,Cuddapah,Cuddapah,Wheat,Lokwan,FAQ,1000,1020,1010,21-Jun-08
94,Cuddapah,Cuddapah,Wheat,Other,FAQ,935,1035,1020,31-Oct-07
95,Cuddapah,Cuddapah,Wheat,Other,FAQ,920,1000,970,30-Oct-07
96,Cuddapah,Cuddapah,Wheat,Other,FAQ,976,1152,1100,24-Oct-07
97,Cuddapah,Cuddapah,Wheat,Other,FAQ,950,1001,980,15-Oct-07
98,Cuddapah,Cuddapah,Wheat,Other,FAQ,860,965,945,09-Oct-07
99,Cuddapah,Cuddapah,Wheat,Other,FAQ,860,970,935,08-Oct-07
100,Cuddapah,Cuddapah,Wheat,Other,FAQ,860,980,945,06-Oct-07
101,Cuddapah,Cuddapah,Wheat,Other,FAQ,850,975,940,05-Oct-07
102,Cuddapah,Cuddapah,Wheat,Other,FAQ,860,980,958,04-Oct-07
103,Cuddapah,Cuddapah,Wheat,Other,FAQ,855,1000,960,03-Oct-07
104,Cuddapah,Cuddapah,Wheat,Other,FAQ,900,985,965,01-Oct-07
