Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Barpeta,Bohorihat,Wheat,Other,FAQ,1500,1600,1550,08-May-18
2,Barpeta,Bohorihat,Wheat,Other,FAQ,2600,2700,2650,16-May-17
3,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,21-Jul-16
4,Barpeta,Bohorihat,Wheat,Other,FAQ,1550,1650,1600,30-Jun-16
5,Barpeta,Bohorihat,Wheat,Other,FAQ,1500,1600,1550,23-Jun-16
6,Barpeta,Bohorihat,Wheat,Other,FAQ,1550,1650,1600,14-Jun-16
7,Barpeta,Bohorihat,Wheat,Other,FAQ,1550,1650,1600,09-Jun-16
8,Barpeta,Bohorihat,Wheat,Other,FAQ,1550,1650,1600,08-Jun-16
9,Barpeta,Bohorihat,Wheat,Other,FAQ,1550,1650,1600,07-Jun-16
10,Barpeta,Bohorihat,Wheat,Other,FAQ,1650,1750,1700,06-Jun-16
11,Barpeta,Bohorihat,Wheat,Other,FAQ,1675,1725,1700,31-May-16
12,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,30-May-16
13,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,26-May-16
14,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,24-May-16
15,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,21-May-16
16,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,20-May-16
17,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,19-May-16
18,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,18-May-16
19,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,16-May-16
20,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,15-May-16
21,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,14-May-16
22,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1650,1625,13-May-16
23,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,12-May-16
24,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,11-May-16
25,Barpeta,Bohorihat,Wheat,Other,FAQ,1600,1700,1650,10-May-16
26,Barpeta,Bohorihat,Wheat,Other,FAQ,1550,1650,1600,08-May-16
27,Barpeta,Bohorihat,Wheat,Other,FAQ,1550,1650,1600,07-May-16
