Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,23-May-17
2,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,26-Feb-17
3,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,25-Feb-17
4,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,24-Feb-17
5,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,15-Feb-17
6,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,09-Feb-17
7,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,08-Feb-17
8,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,30-Dec-16
9,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,07-Sep-16
10,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,13-Aug-16
11,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,23-May-16
12,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,22-May-16
13,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,21-May-16
14,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,12-May-16
15,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,11-May-16
16,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,10-May-16
17,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,09-May-16
18,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,05-May-16
19,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,03-May-16
20,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,02-May-16
21,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,01-May-16
22,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,28-Apr-16
23,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,27-Apr-16
24,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,23-Apr-16
25,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,22-Apr-16
26,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,29-Mar-16
27,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,02-Mar-16
28,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,26-Feb-16
29,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,25-Feb-16
30,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,12-Feb-16
31,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,30-Jan-16
32,Durg,Ahivara,Wheat,Other,FAQ,1525,1525,1525,01-Jan-16
33,Durg,Ahivara,Wheat,Other,FAQ,1450,1450,1450,26-Dec-15
34,Durg,Ahivara,Wheat,Other,FAQ,1450,1450,1450,25-Dec-15
35,Durg,Ahivara,Wheat,Other,FAQ,1450,1450,1450,24-Dec-15
36,Janjgir,Akaltara,Wheat,Local,FAQ,200,200,200,30-Mar-19
37,Janjgir,Akaltara,Wheat,Local,FAQ,200,200,200,26-Feb-19
38,Janjgir,Akaltara,Wheat,Local,FAQ,200,200,200,18-Jan-19
39,Janjgir,Akaltara,Wheat,147 Average,FAQ,1600,1600,1600,31-Aug-18
40,Janjgir,Akaltara,Wheat,Bansi,FAQ,1251,1255,1252,18-Mar-13
41,Janjgir,Akaltara,Wheat,Bansi,FAQ,1251,1253,1252,24-Feb-13
42,Janjgir,Akaltara,Wheat,Other,FAQ,900,950,930,26-Jul-11
43,Janjgir,Akaltara,Wheat,Deshi,FAQ,1000,1000,1000,11-May-11
44,Janjgir,Akaltara,Wheat,Deshi,FAQ,1200,1200,1200,09-Oct-10
45,Janjgir,Akaltara,Wheat,Other,FAQ,1308,1360,1318,20-Apr-10
46,Janjgir,Akaltara,Wheat,Deshi,FAQ,1397,1411,1411,06-Mar-10
47,Janjgir,Akaltara,Wheat,Other,FAQ,1425,1451,1451,18-Feb-10
48,Janjgir,Akaltara,Wheat,Deshi,FAQ,1140,1205,1150,17-Sep-09
49,Janjgir,Akaltara,Wheat,White,FAQ,1150,1155,1155,07-Aug-09
50,Janjgir,Akaltara,Wheat,White,FAQ,1095,1115,1115,31-Jul-09
51,Janjgir,Akaltara,Wheat,White,FAQ,1085,1100,1093,30-Jun-09
52,Janjgir,Akaltara,Wheat,White,FAQ,1085,1100,1093,20-Jun-09
53,Janjgir,Akaltara,Wheat,White,FAQ,1192,1235,1192,07-Feb-09
54,Janjgir,Akaltara,Wheat,White,FAQ,1190,1212,1195,05-Jan-09
55,Janjgir,Akaltara,Wheat,White,FAQ,1111,1111,1111,31-Dec-08
56,Janjgir,Akaltara,Wheat,White,FAQ,1111,1135,1111,08-Dec-08
57,Janjgir,Akaltara,Wheat,Deshi,FAQ,1115,1141,1115,12-Sep-08
58,Janjgir,Akaltara,Wheat,White,FAQ,1138,1159,1138,09-Aug-08
59,Janjgir,Akaltara,Wheat,Other,FAQ,1111,1175,1165,09-Jul-08
60,Janjgir,Akaltara,Wheat,Other,FAQ,1085,1093,1085,10-Jun-08
61,Janjgir,Akaltara,Wheat,Deshi,FAQ,682,690,684,20-May-08
62,Janjgir,Akaltara,Wheat,Deshi,FAQ,1135,1145,1135,09-May-08
63,Janjgir,Akaltara,Wheat,Deshi,FAQ,1135,1145,1135,08-May-08
64,Janjgir,Akaltara,Wheat,Other,FAQ,1101,1102,1101,07-Dec-07
