Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Delhi,Najafgarh,Wheat,Dara,FAQ,2011,2170,2090,16-Dec-19
2,Delhi,Najafgarh,Wheat,Deshi,FAQ,2500,2700,2600,16-Dec-19
3,Delhi,Najafgarh,Wheat,Dara,FAQ,2130,2232,2181,15-Dec-19
4,Delhi,Najafgarh,Wheat,Deshi,FAQ,2401,2845,2623,15-Dec-19
5,Delhi,Najafgarh,Wheat,Dara,FAQ,2000,2225,2112,14-Dec-19
6,Delhi,Najafgarh,Wheat,Deshi,FAQ,2368,2401,2385,14-Dec-19
7,Delhi,Najafgarh,Wheat,Dara,FAQ,2151,2170,2160,12-Dec-19
8,Delhi,Najafgarh,Wheat,Deshi,FAQ,2300,3200,2750,12-Dec-19
9,Delhi,Najafgarh,Wheat,Dara,FAQ,2150,2201,2175,10-Dec-19
10,Delhi,Najafgarh,Wheat,Deshi,FAQ,2315,2501,2408,10-Dec-19
11,Delhi,Najafgarh,Wheat,Dara,FAQ,2100,2221,2160,09-Dec-19
12,Delhi,Najafgarh,Wheat,Deshi,FAQ,2485,2960,2722,09-Dec-19
13,Delhi,Najafgarh,Wheat,Dara,FAQ,2100,2200,2150,08-Dec-19
14,Delhi,Najafgarh,Wheat,Deshi,FAQ,2390,3410,2900,08-Dec-19
15,Delhi,Najafgarh,Wheat,Dara,FAQ,2120,2200,2160,07-Dec-19
16,Delhi,Najafgarh,Wheat,Deshi,FAQ,2500,2500,2500,07-Dec-19
17,Delhi,Najafgarh,Wheat,Dara,FAQ,2100,2141,2120,05-Dec-19
18,Delhi,Najafgarh,Wheat,Deshi,FAQ,2350,2880,2615,05-Dec-19
19,Delhi,Najafgarh,Wheat,Dara,FAQ,2100,2200,2150,03-Dec-19
20,Delhi,Najafgarh,Wheat,Deshi,FAQ,2300,2572,2436,03-Dec-19
21,Delhi,Najafgarh,Wheat,Dara,FAQ,2100,2190,2145,02-Dec-19
