Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,27-Apr-18
2,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,26-Apr-18
3,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,25-Apr-18
4,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,24-Apr-18
5,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,23-Apr-18
6,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,21-Apr-18
7,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,18-Apr-18
8,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,17-Apr-18
9,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,16-Apr-18
10,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,13-Apr-18
11,Hissar,Adampur,Wheat,Other,FAQ,1735,1735,1735,12-Apr-18
12,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,22-May-17
13,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,21-May-17
14,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,20-May-17
15,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,19-May-17
16,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,18-May-17
17,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,17-May-17
18,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,16-May-17
19,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,15-May-17
20,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,13-May-17
21,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,10-May-17
22,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,09-May-17
23,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,08-May-17
24,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,06-May-17
25,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,05-May-17
26,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,04-May-17
27,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,03-May-17
28,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,02-May-17
29,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,01-May-17
30,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,26-Apr-17
31,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,25-Apr-17
32,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,24-Apr-17
33,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,23-Apr-17
34,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,22-Apr-17
35,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,21-Apr-17
36,Hissar,Adampur,Wheat,Other,FAQ,1625,1625,1625,20-Apr-17
37,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,20-Apr-16
38,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,19-Apr-16
39,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,18-Apr-16
40,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,16-Apr-16
41,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,15-Apr-16
42,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,14-Apr-16
43,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,13-Apr-16
44,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,12-Apr-16
45,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,11-Apr-16
46,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,09-Apr-16
47,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,08-Apr-16
48,Hissar,Adampur,Wheat,Other,FAQ,1525,1525,1525,07-Apr-16
49,Hissar,Adampur,Wheat,Other,FAQ,1450,1450,1450,27-Apr-15
