Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bokaro,Bermo,Wheat,Medium,FAQ,1700,2050,2000,16-Sep-18
2,Bokaro,Bermo,Wheat,Medium,FAQ,1700,2050,2000,12-Sep-18
3,Bokaro,Bermo,Wheat,Medium,FAQ,1700,2050,2000,10-Sep-18
4,Bokaro,Bermo,Wheat,Medium,FAQ,1700,2050,2000,09-Sep-18
5,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,03-Sep-18
6,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,02-Sep-18
7,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,31-Aug-18
8,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,27-Aug-18
9,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,25-Aug-18
10,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,24-Aug-18
11,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,19-Aug-18
12,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,18-Aug-18
13,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,15-Aug-18
14,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,11-Aug-18
15,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2500,2200,04-Aug-18
16,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,29-Jul-18
17,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,28-Jul-18
18,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,25-Jul-18
19,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,22-Jul-18
20,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,18-Jul-18
21,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,16-Jul-18
22,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,15-Jul-18
23,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2100,1900,11-Jul-18
24,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,07-Jul-18
25,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,02-Jul-18
26,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,28-Jun-18
27,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,23-Jun-18
28,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,21-Jun-18
29,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,15-Jun-18
30,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,14-Jun-18
31,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,13-Jun-18
32,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,09-Jun-18
33,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,06-Jun-18
34,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2200,1900,01-Jun-18
35,Bokaro,Bermo,Wheat,Medium,FAQ,1770,1960,1870,31-May-18
36,Bokaro,Bermo,Wheat,Medium,FAQ,1770,1960,1870,24-May-18
37,Bokaro,Bermo,Wheat,Medium,FAQ,1770,1960,1870,20-May-18
38,Bokaro,Bermo,Wheat,Medium,FAQ,1770,1960,1870,16-May-18
39,Bokaro,Bermo,Wheat,Medium,FAQ,1770,1960,1870,14-May-18
40,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,03-May-18
41,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,30-Apr-18
42,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,25-Apr-18
43,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,21-Apr-18
44,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,16-Apr-18
45,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,13-Apr-18
46,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,12-Apr-18
47,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,08-Apr-18
48,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,04-Apr-18
49,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,31-Mar-18
50,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,26-Mar-18
51,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2160,2100,25-Mar-18
52,Bokaro,Bermo,Wheat,Medium,FAQ,2060,2200,2145,18-Mar-18
53,Bokaro,Bermo,Wheat,Medium,FAQ,2060,2200,2145,15-Mar-18
54,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2245,2100,03-Mar-18
55,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2245,2100,24-Feb-18
56,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2245,2100,21-Feb-18
57,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2245,2100,19-Feb-18
58,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2245,2100,15-Feb-18
59,Bokaro,Bermo,Wheat,Medium,FAQ,1950,2245,2100,12-Feb-18
60,Bokaro,Bermo,Wheat,Medium,FAQ,1400,1700,1550,03-Feb-18
61,Bokaro,Bermo,Wheat,Medium,FAQ,1400,1700,1550,29-Jan-18
62,Bokaro,Bermo,Wheat,Medium,FAQ,1400,1700,1550,27-Jan-18
63,Bokaro,Bermo,Wheat,Medium,FAQ,1400,1700,1550,22-Jan-18
64,Bokaro,Bermo,Wheat,Medium,FAQ,1400,1700,1550,20-Jan-18
65,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1950,1700,18-Jan-18
66,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1950,1700,15-Jan-18
67,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1950,1700,10-Jan-18
68,Bokaro,Bermo,Wheat,Medium,FAQ,1700,1950,1950,08-Jan-18
69,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,01-Jan-18
70,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,28-Dec-17
71,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,25-Dec-17
72,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,21-Dec-17
73,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,20-Dec-17
74,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,11-Dec-17
75,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,09-Dec-17
76,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,07-Dec-17
77,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,03-Dec-17
78,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,30-Nov-17
79,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,27-Nov-17
80,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,22-Nov-17
81,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,17-Nov-17
82,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,16-Nov-17
83,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,13-Nov-17
84,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,05-Nov-17
85,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,04-Nov-17
86,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,01-Nov-17
87,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,28-Oct-17
88,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,27-Oct-17
89,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,21-Oct-17
90,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,19-Oct-17
91,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,14-Oct-17
92,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,12-Oct-17
93,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,09-Oct-17
94,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,07-Oct-17
95,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,04-Oct-17
96,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,30-Sep-17
97,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,27-Sep-17
98,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,25-Sep-17
99,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,23-Sep-17
100,Bokaro,Bermo,Wheat,Medium,FAQ,1650,1800,1800,18-Sep-17
101,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2050,2050,15-Sep-17
102,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2050,2050,13-Sep-17
103,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2050,2050,10-Sep-17
104,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2050,2050,08-Sep-17
105,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2050,2050,06-Sep-17
106,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,31-Aug-17
107,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,28-Aug-17
108,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,23-Aug-17
109,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,18-Aug-17
110,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,16-Aug-17
111,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,13-Aug-17
112,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,09-Aug-17
113,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,07-Aug-17
114,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,04-Aug-17
115,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,31-Jul-17
116,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,28-Jul-17
117,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,26-Jul-17
118,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,22-Jul-17
119,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,21-Jul-17
120,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2200,2200,17-Jul-17
121,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2150,2150,14-Jul-17
122,Bokaro,Bermo,Wheat,Medium,FAQ,1900,2150,2150,10-Jul-17
123,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2150,2150,09-Jul-17
124,Bokaro,Bermo,Wheat,Medium,FAQ,1900,2150,2150,06-Jul-17
125,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2150,2150,03-Jul-17
126,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2150,2150,30-Jun-17
127,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2150,2150,26-Jun-17
128,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2150,2150,19-Jun-17
129,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2150,2150,17-Jun-17
130,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2220,2220,15-Jun-17
131,Bokaro,Bermo,Wheat,Medium,FAQ,2000,2220,2220,09-Jun-17
132,Bokaro,Bermo,Wheat,Medium,FAQ,1900,2150,2150,05-Jun-17
133,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,02-Jun-17
134,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,29-May-17
135,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,27-May-17
136,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,26-May-17
137,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,22-May-17
138,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,20-May-17
139,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,19-May-17
140,Bokaro,Bermo,Wheat,Medium,FAQ,1600,1850,1850,14-May-17
141,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2000,2000,08-May-17
