Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Gulbarga,Alanda,Wheat,Bansi,FAQ,1050,1200,1100,29-Mar-18
2,Gulbarga,Alanda,Wheat,Bansi,FAQ,900,1000,950,22-Mar-18
3,Gulbarga,Alanda,Wheat,Bansi,FAQ,950,1050,1000,15-Mar-18
4,Gulbarga,Alanda,Wheat,Bansi,FAQ,975,1000,990,08-Mar-18
5,Gulbarga,Alanda,Wheat,Bansi,FAQ,1000,1200,1100,01-Mar-18
6,Gulbarga,Alanda,Wheat,Bansi,FAQ,1050,1200,1100,22-Feb-18
7,Gulbarga,Alanda,Wheat,Bansi,FAQ,900,1200,1100,15-Feb-18
8,Gulbarga,Alanda,Wheat,Bansi,FAQ,900,1200,1100,25-Jan-18
9,Gulbarga,Alanda,Wheat,Bansi,FAQ,875,1180,1100,18-Jan-18
10,Gulbarga,Alanda,Wheat,Bansi,FAQ,880,990,900,14-Dec-17
11,Gulbarga,Alanda,Wheat,Bansi,FAQ,950,1110,1000,30-Nov-17
12,Gulbarga,Alanda,Wheat,Bansi,FAQ,950,1050,1000,18-Oct-17
13,Gulbarga,Alanda,Wheat,Bansi,FAQ,950,1100,1000,14-Sep-17
14,Gulbarga,Alanda,Wheat,Bansi,FAQ,1100,1370,1200,24-Aug-17
15,Gulbarga,Alanda,Wheat,Bansi,FAQ,1250,1425,1300,17-Aug-17
16,Gulbarga,Alanda,Wheat,Bansi,FAQ,1330,1410,1400,10-Aug-17
17,Gulbarga,Alanda,Wheat,Bansi,FAQ,1360,1500,1400,03-Aug-17
18,Gulbarga,Alanda,Wheat,Bansi,FAQ,1200,1300,1250,27-Jul-17
19,Gulbarga,Alanda,Wheat,Bansi,FAQ,1390,1410,1400,20-Jul-17
20,Gulbarga,Alanda,Wheat,Bansi,FAQ,1500,1525,1510,13-Jul-17
21,Gulbarga,Alanda,Wheat,Bansi,FAQ,1225,1480,1300,06-Jul-17
22,Gulbarga,Alanda,Wheat,Bansi,FAQ,1220,1375,1300,29-Jun-17
23,Gulbarga,Alanda,Wheat,Bansi,FAQ,1210,1325,1250,22-Jun-17
24,Gulbarga,Alanda,Wheat,Bansi,FAQ,1100,1400,1300,15-Jun-17
25,Gulbarga,Alanda,Wheat,Bansi,FAQ,1175,1375,1200,08-Jun-17
26,Gulbarga,Alanda,Wheat,Bansi,FAQ,1210,1510,1300,01-Jun-17
27,Dharwad,Annigeri,Wheat,H.D.,FAQ,2000,2400,2200,29-Aug-19
28,Dharwad,Annigeri,Wheat,H.D.,FAQ,2100,2300,2200,26-Jul-19
29,Dharwad,Annigeri,Wheat,H.D.,FAQ,2100,2300,2200,03-Jun-19
30,Dharwad,Annigeri,Wheat,H.D.,FAQ,2100,2300,2200,27-May-19
31,Dharwad,Annigeri,Wheat,H.D.,FAQ,2100,2300,2200,20-May-19
32,Dharwad,Annigeri,Wheat,H.D.,FAQ,2000,2200,2100,10-May-19
33,Dharwad,Annigeri,Wheat,H.D.,FAQ,1800,2200,2000,27-Mar-19
34,Dharwad,Annigeri,Wheat,H.D.,FAQ,2100,2300,2200,20-Mar-19
35,Dharwad,Annigeri,Wheat,H.D.,FAQ,2000,2200,2100,08-Mar-19
36,Dharwad,Annigeri,Wheat,H.D.,FAQ,1400,1600,1500,17-Nov-18
37,Dharwad,Annigeri,Wheat,H.D.,FAQ,2000,2200,2100,17-Oct-18
38,Dharwad,Annigeri,Wheat,H.D.,FAQ,2000,2200,2100,24-Sep-18
39,Dharwad,Annigeri,Wheat,H.D.,FAQ,1700,1900,1800,05-Sep-18
40,Dharwad,Annigeri,Wheat,H.D.,Medium,1800,2000,1900,27-Aug-18
41,Dharwad,Annigeri,Wheat,H.D.,Medium,1600,1800,1700,11-Jul-18
42,Dharwad,Annigeri,Wheat,H.D.,FAQ,1700,1900,1800,28-Jun-18
43,Dharwad,Annigeri,Wheat,H.D.,FAQ,1600,1800,1700,25-Jun-18
44,Dharwad,Annigeri,Wheat,H.D.,FAQ,1700,1700,1700,12-Jun-18
45,Dharwad,Annigeri,Wheat,H.D.,FAQ,1650,1850,1750,26-May-18
46,Dharwad,Annigeri,Wheat,H.D.,FAQ,1600,1700,1650,24-May-18
47,Dharwad,Annigeri,Wheat,H.D.,FAQ,1700,1800,1750,22-May-18
48,Dharwad,Annigeri,Wheat,H.D.,FAQ,1850,1950,1900,12-Apr-18
49,Dharwad,Annigeri,Wheat,H.D.,FAQ,1700,1900,1800,28-Mar-18
50,Dharwad,Annigeri,Wheat,H.D.,FAQ,1700,1900,1800,16-Jun-16
51,Dharwad,Annigeri,Wheat,H.D.,FAQ,1750,1850,1800,13-May-16
52,Dharwad,Annigeri,Wheat,Red,FAQ,1850,1950,1900,14-Mar-16
53,Dharwad,Annigeri,Wheat,Red,FAQ,1750,1850,1800,08-Mar-16
54,Dharwad,Annigeri,Wheat,Red,FAQ,1800,1900,1850,02-Mar-16
55,Dharwad,Annigeri,Wheat,H.D.,Medium,1600,1700,1650,19-Aug-15
56,Dharwad,Annigeri,Wheat,H.D.,Medium,1650,1750,1700,30-Jul-15
57,Dharwad,Annigeri,Wheat,Red,Medium,1550,1650,1600,07-Jul-15
58,Dharwad,Annigeri,Wheat,H.D.,Medium,1400,1600,1500,25-Jun-15
59,Dharwad,Annigeri,Wheat,H.D.,FAQ,1600,1900,1700,18-Jun-15
60,Dharwad,Annigeri,Wheat,Red,FAQ,1500,1700,1600,16-Jun-15
