Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,01-Jan-20
2,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,28-Dec-19
3,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,27-Dec-19
4,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,26-Dec-19
5,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,25-Dec-19
6,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,24-Dec-19
7,Alappuzha,Alappuzha,Wheat,Other,FAQ,2100,2200,2150,23-Dec-19
8,Alappuzha,Alappuzha,Wheat,Other,FAQ,2100,2200,2150,20-Dec-19
9,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,19-Dec-19
10,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,18-Dec-19
11,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,17-Dec-19
12,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,16-Dec-19
13,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,15-Dec-19
14,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,14-Dec-19
15,Alappuzha,Alappuzha,Wheat,Other,FAQ,2100,2200,2150,04-Dec-19
16,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,03-Dec-19
17,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,30-Nov-19
18,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,28-Nov-19
19,Alappuzha,Alappuzha,Wheat,Other,FAQ,2100,2200,2150,27-Nov-19
20,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2150,2100,26-Nov-19
21,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,24-Nov-19
22,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,22-Nov-19
23,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,21-Nov-19
24,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2150,2100,20-Nov-19
25,Alappuzha,Alappuzha,Wheat,Other,FAQ,1950,2050,2000,14-Nov-19
26,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,13-Nov-19
27,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,12-Nov-19
28,Alappuzha,Alappuzha,Wheat,Other,FAQ,1950,2050,2000,11-Nov-19
29,Alappuzha,Alappuzha,Wheat,Other,FAQ,1900,2000,1950,09-Nov-19
30,Alappuzha,Alappuzha,Wheat,Other,FAQ,2100,2200,2150,08-Nov-19
31,Alappuzha,Alappuzha,Wheat,Other,FAQ,1850,1975,1900,06-Nov-19
32,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,05-Nov-19
33,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,04-Nov-19
34,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,01-Nov-19
35,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,31-Oct-19
36,Alappuzha,Alappuzha,Wheat,Other,FAQ,1950,2050,2000,30-Oct-19
37,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,29-Oct-19
38,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,28-Oct-19
39,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,27-Oct-19
40,Alappuzha,Alappuzha,Wheat,Other,FAQ,1950,2050,2000,26-Oct-19
41,Alappuzha,Alappuzha,Wheat,Other,FAQ,1950,2050,2000,25-Oct-19
42,Alappuzha,Alappuzha,Wheat,Other,FAQ,1950,2050,2000,24-Oct-19
43,Alappuzha,Alappuzha,Wheat,Other,FAQ,1900,2050,1975,23-Oct-19
44,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,16-Oct-19
45,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,15-Oct-19
46,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,11-Oct-19
47,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,10-Oct-19
48,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,09-Oct-19
49,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,04-Oct-19
50,Alappuzha,Alappuzha,Wheat,Other,FAQ,1950,2050,2000,03-Oct-19
51,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2150,2100,02-Oct-19
52,Alappuzha,Alappuzha,Wheat,Other,FAQ,1900,2050,2000,01-Oct-19
53,Alappuzha,Alappuzha,Wheat,Other,FAQ,1900,2100,2000,18-Sep-19
