Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Angul,Angaura,Wheat,Other,FAQ,1600,2000,1800,05-Oct-11
2,Nayagarh,Bahadajholla,Wheat,White,FAQ,520,550,530,20-Feb-03
3,Khurda,Balugaon,Wheat,Other,FAQ,700,800,800,01-May-08
4,Khurda,Balugaon,Wheat,Other,FAQ,680,720,700,10-Sep-05
5,Khurda,Balugaon,Wheat,Other,FAQ,920,1150,1020,03-Sep-05
6,Balasore,Bampada,Wheat,Other,FAQ,425,528,450,24-Jun-04
7,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1350,1200,14-Jun-10
8,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,10-Jun-10
9,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,08-Jun-10
10,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,07-Jun-10
11,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,04-Jun-10
12,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,20-Mar-10
13,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,12-Feb-10
14,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,05-Feb-10
15,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,22-Jan-10
16,Mayurbhanja,Baripada,Wheat,Other,FAQ,1200,1400,1300,19-Dec-09
17,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,21-Nov-09
18,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,13-Nov-09
19,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,22-Oct-09
20,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,11-Oct-09
21,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,27-Sep-09
22,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,21-Sep-09
23,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,13-Sep-09
24,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,10-Sep-09
25,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,05-Sep-09
26,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,02-Sep-09
27,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,31-Aug-09
28,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,28-Aug-09
29,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1400,1200,26-Aug-09
30,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1200,1100,08-Jul-09
31,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1200,1100,03-Jul-09
32,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1200,1100,28-Dec-08
33,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1200,1000,01-Nov-08
34,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1200,1000,29-Oct-08
35,Mayurbhanja,Baripada,Wheat,Other,FAQ,900,1000,1000,24-Oct-08
36,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1200,1000,11-Oct-08
37,Mayurbhanja,Baripada,Wheat,Other,FAQ,1000,1200,1000,07-Oct-08
38,Mayurbhanja,Baripada,Wheat,Other,FAQ,900,1000,900,04-Oct-08
39,Mayurbhanja,Baripada,Wheat,Other,FAQ,850,900,875,07-Apr-06
40,Mayurbhanja,Baripada,Wheat,Other,FAQ,850,950,900,06-Apr-06
41,Mayurbhanja,Baripada,Wheat,Other,FAQ,850,900,875,05-Apr-06
42,Mayurbhanja,Baripada,Wheat,Other,FAQ,850,950,900,02-Apr-06
43,Mayurbhanja,Baripada,Wheat,Other,FAQ,850,950,900,01-Apr-06
44,Mayurbhanja,Baripada,Wheat,Other,FAQ,825,900,850,09-Mar-06
45,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,08-Mar-06
46,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,07-Mar-06
47,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,06-Mar-06
48,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,05-Mar-06
49,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,27-Feb-06
50,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,26-Feb-06
51,Mayurbhanja,Baripada,Wheat,Other,FAQ,750,800,775,25-Feb-06
52,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,24-Feb-06
53,Mayurbhanja,Baripada,Wheat,Other,FAQ,775,850,800,23-Feb-06
54,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,22-Feb-06
55,Mayurbhanja,Baripada,Wheat,Other,FAQ,750,850,800,21-Feb-06
56,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,10-Feb-06
57,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,08-Feb-06
58,Mayurbhanja,Baripada,Wheat,Other,FAQ,850,900,850,07-Feb-06
59,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,31-Jan-06
60,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,23-Jan-06
61,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,17-Jan-06
62,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,16-Jan-06
63,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,15-Jan-06
64,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,13-Jan-06
65,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,12-Jan-06
66,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,07-Jan-06
67,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,06-Jan-06
68,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,05-Jan-06
69,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,860,825,04-Jan-06
70,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,840,825,02-Jan-06
71,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,31-Dec-05
72,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,30-Dec-05
73,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,900,850,16-Dec-05
74,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,06-Dec-05
75,Mayurbhanja,Baripada,Wheat,Other,FAQ,750,800,770,01-Dec-05
76,Mayurbhanja,Baripada,Wheat,Other,FAQ,750,800,780,30-Nov-05
77,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,790,740,28-Nov-05
78,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,27-Nov-05
79,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,26-Nov-05
80,Mayurbhanja,Baripada,Wheat,Other,FAQ,720,800,750,25-Nov-05
81,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,24-Nov-05
82,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,760,23-Nov-05
83,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,22-Nov-05
84,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,21-Nov-05
85,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,20-Nov-05
86,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,750,725,19-Nov-05
87,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,18-Nov-05
88,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,17-Nov-05
89,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,15-Nov-05
90,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,14-Nov-05
91,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,775,750,13-Nov-05
92,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,800,750,12-Nov-05
93,Mayurbhanja,Baripada,Wheat,Other,FAQ,750,800,780,11-Nov-05
94,Mayurbhanja,Baripada,Wheat,Other,FAQ,750,800,780,10-Nov-05
95,Mayurbhanja,Baripada,Wheat,Other,FAQ,800,850,825,09-Nov-05
96,Mayurbhanja,Baripada,Wheat,Other,FAQ,680,740,700,08-Nov-05
97,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,740,720,07-Nov-05
98,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,750,725,06-Nov-05
99,Mayurbhanja,Baripada,Wheat,Other,FAQ,650,750,700,05-Nov-05
100,Mayurbhanja,Baripada,Wheat,Other,FAQ,650,750,700,03-Nov-05
101,Mayurbhanja,Baripada,Wheat,Other,FAQ,650,700,680,02-Nov-05
102,Mayurbhanja,Baripada,Wheat,Other,FAQ,650,700,675,01-Nov-05
103,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,740,720,30-Oct-05
104,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,750,720,27-Oct-05
105,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,740,725,26-Oct-05
106,Mayurbhanja,Baripada,Wheat,Other,FAQ,690,740,700,25-Oct-05
107,Mayurbhanja,Baripada,Wheat,Other,FAQ,690,750,725,23-Oct-05
108,Mayurbhanja,Baripada,Wheat,Other,FAQ,650,700,670,22-Oct-05
109,Mayurbhanja,Baripada,Wheat,Other,FAQ,650,750,700,21-Oct-05
110,Mayurbhanja,Baripada,Wheat,Other,FAQ,670,740,700,19-Oct-05
111,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,750,720,18-Oct-05
112,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,750,720,17-Oct-05
113,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,725,700,16-Oct-05
114,Mayurbhanja,Baripada,Wheat,Other,FAQ,700,750,725,14-Oct-05
