Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,25-May-19
2,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,24-May-19
3,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,23-May-19
4,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,22-May-19
5,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,21-May-19
6,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,20-May-19
7,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,16-May-19
8,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,15-May-19
9,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,14-May-19
10,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,13-May-19
11,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,12-May-19
12,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,11-May-19
13,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,10-May-19
14,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,04-May-19
15,Fazilka,Abohar,Wheat,Other,FAQ,1835.4,1835.4,1835.4,03-May-19
16,Fazilka,Abohar,Wheat,Other,FAQ,1835.4,1835.4,1835.4,02-May-19
17,Fazilka,Abohar,Wheat,Other,FAQ,1835.4,1835.4,1835.4,01-May-19
18,Fazilka,Abohar,Wheat,Other,FAQ,1835.4,1835.4,1835.4,30-Apr-19
19,Fazilka,Abohar,Wheat,Other,FAQ,1835.4,1835.4,1835.4,28-Apr-19
20,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,27-Apr-19
21,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,26-Apr-19
22,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,25-Apr-19
23,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,24-Apr-19
24,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,23-Apr-19
25,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,22-Apr-19
26,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,21-Apr-19
27,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,20-Apr-19
28,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,19-Apr-19
29,Fazilka,Abohar,Wheat,Other,FAQ,1840,1840,1840,16-Apr-19
30,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1765,09-Apr-19
31,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1775,04-Apr-19
32,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1801,02-Apr-19
33,Fazilka,Abohar,Wheat,Other,FAQ,1801,1801,1801,01-Apr-19
34,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1800,18-Mar-19
35,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1820,09-Mar-19
36,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1930,21-Jan-19
37,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1930,09-Jan-19
38,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1890,07-Jan-19
39,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1885,15-Dec-18
40,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1851,14-Dec-18
41,Fazilka,Abohar,Wheat,Other,FAQ,1785,1785,1785,22-Nov-18
42,Fazilka,Abohar,Wheat,Other,FAQ,1800,1800,1800,21-Nov-18
43,Fazilka,Abohar,Wheat,Other,FAQ,1800,1800,1800,24-Oct-18
44,Fazilka,Abohar,Wheat,Other,FAQ,1810,1810,1810,29-Sep-18
45,Fazilka,Abohar,Wheat,Other,FAQ,1780,1785,1785,27-Sep-18
46,Fazilka,Abohar,Wheat,Other,FAQ,1800,1800,1800,25-Sep-18
47,Fazilka,Abohar,Wheat,Other,FAQ,1750,1750,1750,22-Sep-18
48,Fazilka,Abohar,Wheat,Other,FAQ,1810,1810,1810,15-Sep-18
49,Fazilka,Abohar,Wheat,Other,FAQ,1790,1790,1790,11-Sep-18
50,Fazilka,Abohar,Wheat,Other,FAQ,3205,3870,3830,06-Sep-18
51,Fazilka,Abohar,Wheat,Other,FAQ,1650,1765,1750,03-Sep-18
52,Fazilka,Abohar,Wheat,Other,FAQ,1770,1800,1800,31-Aug-18
53,Fazilka,Abohar,Wheat,Other,FAQ,1765,1765,1765,30-Aug-18
54,Fazilka,Abohar,Wheat,Other,FAQ,1765,1765,1765,23-Aug-18
55,Fazilka,Abohar,Wheat,Other,FAQ,1760,1775,1775,22-Aug-18
56,Fazilka,Abohar,Wheat,Other,FAQ,1780,1780,1780,21-Aug-18
57,Fazilka,Abohar,Wheat,Other,FAQ,1770,1800,1780,20-Aug-18
58,Fazilka,Abohar,Wheat,Other,FAQ,1820,1820,1820,09-Aug-18
59,Fazilka,Abohar,Wheat,Other,FAQ,1795,1795,1795,08-Aug-18
60,Fazilka,Abohar,Wheat,Other,FAQ,1825,1825,1825,07-Aug-18
61,Fazilka,Abohar,Wheat,Other,FAQ,1770,1805,1780,06-Aug-18
62,Fazilka,Abohar,Wheat,Other,FAQ,1800,1820,1800,04-Aug-18
63,Fazilka,Abohar,Wheat,Other,FAQ,1800,1800,1800,03-Aug-18
64,Fazilka,Abohar,Wheat,Other,FAQ,1810,1810,1810,02-Aug-18
65,Fazilka,Abohar,Wheat,Other,FAQ,1810,1810,1810,01-Aug-18
66,Fazilka,Abohar,Wheat,Other,FAQ,1835,1835,1835,31-Jul-18
67,Fazilka,Abohar,Wheat,Other,FAQ,1810,1840,1810,30-Jul-18
68,Fazilka,Abohar,Wheat,Other,FAQ,1800,1800,1800,27-Jul-18
69,Fazilka,Abohar,Wheat,Other,FAQ,1800,1800,1800,25-Jul-18
70,Fazilka,Abohar,Wheat,Other,FAQ,1785,1800,1785,24-Jul-18
71,Fazilka,Abohar,Wheat,Other,FAQ,1780,1855,1780,23-Jul-18
72,Fazilka,Abohar,Wheat,Other,FAQ,1805,1810,1810,21-Jul-18
73,Fazilka,Abohar,Wheat,Other,FAQ,1790,1820,1790,20-Jul-18
74,Fazilka,Abohar,Wheat,Other,FAQ,1790,1790,1790,19-Jul-18
75,Fazilka,Abohar,Wheat,Other,FAQ,1810,1810,1810,16-Jul-18
76,Fazilka,Abohar,Wheat,Other,FAQ,1785,1785,1785,14-Jul-18
77,Fazilka,Abohar,Wheat,Other,FAQ,1775,1825,1775,13-Jul-18
78,Fazilka,Abohar,Wheat,Other,FAQ,1750,1750,1750,09-Jul-18
79,Fazilka,Abohar,Wheat,Other,FAQ,1690,1725,1725,06-Jul-18
80,Fazilka,Abohar,Wheat,Other,FAQ,1735,1735,1735,28-May-18
81,Fazilka,Abohar,Wheat,Other,FAQ,1735,1735,1735,25-May-18
82,Fazilka,Abohar,Wheat,Other,FAQ,1735,1735,1735,23-May-18
83,Fazilka,Abohar,Wheat,Other,FAQ,1735,1735,1735,21-May-18
84,Fazilka,Abohar,Wheat,Other,FAQ,1735,1735,1735,20-May-18
85,Fazilka,Abohar,Wheat,Other,FAQ,1735,1735,1735,19-May-18
