Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ajmer,Ajmer (Grain),Wheat,Other,FAQ,1940,1980,1960,29-May-19
2,Ajmer,Ajmer (Grain),Wheat,Other,FAQ,1900,1940,1920,24-May-19
3,Ajmer,Ajmer (Grain),Wheat,Other,FAQ,1900,1940,1920,23-May-19
4,Ajmer,Ajmer (Grain),Wheat,Other,FAQ,1850,1850,1850,01-Apr-19
5,Jhalawar,Aklera,Wheat,Other,FAQ,2229,2237,2233,01-Jan-20
6,Jhalawar,Aklera,Wheat,Other,FAQ,2210,2232,2221,31-Dec-19
7,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2222,2136,30-Dec-19
8,Jhalawar,Aklera,Wheat,Other,FAQ,2180,2207,2193,28-Dec-19
9,Jhalawar,Aklera,Wheat,Other,FAQ,2170,2184,2177,27-Dec-19
10,Jhalawar,Aklera,Wheat,Other,FAQ,2150,2170,2160,26-Dec-19
11,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2146,2098,25-Dec-19
12,Jhalawar,Aklera,Wheat,Other,FAQ,2120,2136,2128,24-Dec-19
13,Jhalawar,Aklera,Wheat,Other,FAQ,2000,2160,2080,23-Dec-19
14,Jhalawar,Aklera,Wheat,Other,FAQ,2000,2183,2041,21-Dec-19
15,Jhalawar,Aklera,Wheat,Other,FAQ,2080,2140,2110,20-Dec-19
16,Jhalawar,Aklera,Wheat,Other,FAQ,2080,2120,2100,19-Dec-19
17,Jhalawar,Aklera,Wheat,Other,FAQ,2070,2110,2090,18-Dec-19
18,Jhalawar,Aklera,Wheat,Other,FAQ,2070,2100,2085,17-Dec-19
19,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2093,2071,16-Dec-19
20,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2108,2079,14-Dec-19
21,Jhalawar,Aklera,Wheat,Other,FAQ,2030,2093,2061,10-Dec-19
22,Jhalawar,Aklera,Wheat,Other,FAQ,2030,2075,2042,09-Dec-19
23,Jhalawar,Aklera,Wheat,Other,FAQ,2040,2069,2054,07-Dec-19
24,Jhalawar,Aklera,Wheat,Other,FAQ,2035,2075,2055,06-Dec-19
25,Jhalawar,Aklera,Wheat,Other,FAQ,2040,2071,2055,05-Dec-19
26,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2070,2060,04-Dec-19
27,Jhalawar,Aklera,Wheat,Other,FAQ,2040,2076,2058,03-Dec-19
28,Jhalawar,Aklera,Wheat,Other,FAQ,2030,2060,2045,02-Dec-19
29,Jhalawar,Aklera,Wheat,Other,FAQ,2040,2070,2055,30-Nov-19
30,Jhalawar,Aklera,Wheat,Other,FAQ,1980,2086,2033,29-Nov-19
31,Jhalawar,Aklera,Wheat,Other,FAQ,2030,2075,2052,28-Nov-19
32,Jhalawar,Aklera,Wheat,Other,FAQ,2040,2076,2058,27-Nov-19
33,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2080,2065,26-Nov-19
34,Jhalawar,Aklera,Wheat,Other,FAQ,2060,2076,2068,25-Nov-19
35,Jhalawar,Aklera,Wheat,Other,FAQ,2035,2080,2058,23-Nov-19
36,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2082,2066,22-Nov-19
37,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2096,2073,21-Nov-19
38,Jhalawar,Aklera,Wheat,Other,FAQ,2060,2085,2072,20-Nov-19
39,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2090,2070,19-Nov-19
40,Jhalawar,Aklera,Wheat,Other,FAQ,2030,2070,2050,18-Nov-19
41,Jhalawar,Aklera,Wheat,Other,FAQ,2050,2070,2060,16-Nov-19
42,Jhalawar,Aklera,Wheat,Other,FAQ,2040,2080,2060,15-Nov-19
