Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Adilabad,Adilabad,Wheat,Dara,FAQ,0,0,1160,29-Sep-10
2,Adilabad,Adilabad,Wheat,Dara,FAQ,0,0,1180,28-Sep-10
3,Adilabad,Adilabad,Wheat,Dara,FAQ,0,0,1190,27-Sep-10
4,Adilabad,Adilabad,Wheat,Local,FAQ,1000,1050,1025,24-Oct-06
5,Adilabad,Adilabad,Wheat,Local,FAQ,1025,1075,1050,17-Oct-06
6,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,16-Oct-06
7,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1005,1015,1010,13-Oct-06
8,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1100,1050,12-Oct-06
9,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,09-Oct-06
10,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1010,1030,1020,07-Oct-06
11,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1025,1015,06-Oct-06
12,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,04-Oct-06
13,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,27-Sep-06
14,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1025,1075,1050,26-Sep-06
15,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,23-Sep-06
16,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1050,1100,1075,21-Sep-06
17,Adilabad,Adilabad,Wheat,Lokwan,FAQ,900,1050,975,20-Sep-06
18,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1010,1005,16-Sep-06
19,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1010,1030,1020,15-Sep-06
20,Adilabad,Adilabad,Wheat,Local,FAQ,1000,1050,1025,14-Sep-06
21,Adilabad,Adilabad,Wheat,Local,FAQ,1025,1075,1050,13-Sep-06
22,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1025,1075,1025,12-Sep-06
23,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,11-Sep-06
24,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1005,1025,1015,08-Sep-06
25,Adilabad,Adilabad,Wheat,Local,FAQ,1000,1050,1025,07-Sep-06
26,Adilabad,Adilabad,Wheat,Lokwan,FAQ,990,1010,1000,06-Sep-06
27,Adilabad,Adilabad,Wheat,Local,FAQ,1025,1075,1050,05-Sep-06
28,Adilabad,Adilabad,Wheat,Lokwan,FAQ,950,1050,1000,04-Sep-06
29,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,01-Sep-06
30,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1005,1055,1025,31-Aug-06
31,Adilabad,Adilabad,Wheat,Lokwan Binar,FAQ,1050,1100,1075,30-Aug-06
32,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1025,1075,1050,28-Aug-06
33,Adilabad,Adilabad,Wheat,Deshi,FAQ,1000,1100,1050,27-Aug-06
34,Adilabad,Adilabad,Wheat,Deshi,FAQ,900,950,925,26-Aug-06
35,Adilabad,Adilabad,Wheat,MP Sharbati,FAQ,1100,1200,1150,26-Aug-06
36,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,24-Aug-06
37,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1100,1050,23-Aug-06
38,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1025,1125,1075,22-Aug-06
39,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1025,1100,1075,19-Aug-06
40,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1005,1055,1025,18-Aug-06
41,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1025,1075,1050,17-Aug-06
42,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1025,1125,1050,16-Aug-06
43,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1000,1050,1025,15-Aug-06
44,Adilabad,Adilabad,Wheat,Lokwan,FAQ,1050,1150,1100,14-Aug-06
