Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Achnera,Wheat,Other,FAQ,1190,1230,1190,29-Dec-09
2,Agra,Achnera,Wheat,Other,FAQ,1190,1230,1215,28-Dec-09
3,Agra,Achnera,Wheat,Other,FAQ,1190,1230,1215,27-Dec-09
4,Agra,Achnera,Wheat,Other,FAQ,1190,1230,1225,26-Dec-09
5,Agra,Achnera,Wheat,Other,FAQ,1190,1230,1225,24-Dec-09
6,Agra,Achnera,Wheat,Other,FAQ,1190,1225,1220,23-Dec-09
7,Agra,Achnera,Wheat,Other,FAQ,1175,1225,1210,22-Dec-09
8,Agra,Achnera,Wheat,Other,FAQ,1175,1220,1210,21-Dec-09
9,Agra,Achnera,Wheat,Other,FAQ,1175,1220,1210,20-Dec-09
10,Agra,Achnera,Wheat,Other,FAQ,1175,1220,1210,19-Dec-09
11,Agra,Achnera,Wheat,Other,FAQ,1175,1220,1210,17-Dec-09
12,Agra,Achnera,Wheat,Other,FAQ,1170,1220,1210,16-Dec-09
13,Agra,Achnera,Wheat,Other,FAQ,1170,1220,1210,15-Dec-09
14,Agra,Achnera,Wheat,Other,FAQ,1170,1220,1200,14-Dec-09
15,Agra,Achnera,Wheat,Other,FAQ,1170,1220,1210,13-Dec-09
16,Agra,Achnera,Wheat,Other,FAQ,1170,1220,1210,12-Dec-09
17,Agra,Achnera,Wheat,Other,FAQ,1070,1220,1200,10-Dec-09
18,Agra,Achnera,Wheat,Other,FAQ,1180,1230,1210,09-Dec-09
19,Agra,Achnera,Wheat,Other,FAQ,1180,1230,1210,08-Dec-09
20,Agra,Achnera,Wheat,Other,FAQ,1190,1240,1225,07-Dec-09
21,Agra,Achnera,Wheat,Other,FAQ,1190,1240,1225,06-Dec-09
22,Agra,Achnera,Wheat,Other,FAQ,1190,1225,1210,05-Dec-09
23,Agra,Achnera,Wheat,Other,FAQ,1190,1225,1210,03-Dec-09
24,Agra,Achnera,Wheat,Other,FAQ,1190,1225,1210,02-Dec-09
25,Agra,Achnera,Wheat,Other,FAQ,1175,1225,1215,01-Dec-09
26,Agra,Achnera,Wheat,Other,FAQ,1180,1230,1220,30-Nov-09
27,Agra,Achnera,Wheat,Other,FAQ,1180,1225,1210,29-Nov-09
28,Agra,Achnera,Wheat,Other,FAQ,1175,1215,1210,28-Nov-09
29,Agra,Achnera,Wheat,Other,FAQ,1175,1225,1220,26-Nov-09
30,Agra,Achnera,Wheat,Other,FAQ,1160,1225,1200,24-Nov-09
31,Agra,Achnera,Wheat,Other,FAQ,1165,1200,1200,23-Nov-09
32,Agra,Achnera,Wheat,Other,FAQ,1150,1200,1190,22-Nov-09
33,Agra,Achnera,Wheat,Other,FAQ,1150,1200,1190,21-Nov-09
34,Agra,Achnera,Wheat,Other,FAQ,1140,1185,1165,19-Nov-09
35,Agra,Achnera,Wheat,Other,FAQ,1140,1175,1165,18-Nov-09
36,Agra,Achnera,Wheat,Other,FAQ,1140,1200,1150,17-Nov-09
37,Agra,Achnera,Wheat,Other,FAQ,1125,1175,1125,16-Nov-09
38,Agra,Achnera,Wheat,Other,FAQ,1120,1150,1125,15-Nov-09
39,Agra,Achnera,Wheat,Other,FAQ,1125,1175,1160,14-Nov-09
40,Agra,Achnera,Wheat,Other,FAQ,1125,1160,1150,12-Nov-09
41,Agra,Achnera,Wheat,Other,FAQ,1125,1165,1160,11-Nov-09
42,Agra,Achnera,Wheat,Other,FAQ,1125,1170,1160,10-Nov-09
43,Agra,Achnera,Wheat,Other,FAQ,1125,1165,1160,09-Nov-09
44,Agra,Achnera,Wheat,Other,FAQ,1125,1175,1160,08-Nov-09
45,Agra,Achnera,Wheat,Other,FAQ,1120,1165,1160,07-Nov-09
46,Agra,Achnera,Wheat,Other,FAQ,1100,1150,1140,05-Nov-09
47,Agra,Achnera,Wheat,Other,FAQ,1100,1150,1135,04-Nov-09
48,Agra,Achnera,Wheat,Other,FAQ,1100,1150,1125,03-Nov-09
49,Agra,Achnera,Wheat,Other,FAQ,1090,1125,1120,02-Nov-09
50,Agra,Achnera,Wheat,Other,FAQ,1090,1120,1115,01-Nov-09
51,Agra,Achnera,Wheat,Other,FAQ,1030,1070,1060,10-Oct-09
52,Agra,Achnera,Wheat,Other,FAQ,1030,1070,1060,08-Oct-09
53,Agra,Achnera,Wheat,Other,FAQ,1035,1080,1065,07-Oct-09
54,Agra,Achnera,Wheat,Other,FAQ,1035,1075,1065,06-Oct-09
55,Agra,Achnera,Wheat,Other,FAQ,1040,1080,1060,05-Oct-09
56,Agra,Achnera,Wheat,Other,FAQ,1030,1070,1060,04-Oct-09
57,Agra,Achnera,Wheat,Other,FAQ,1030,1080,1060,03-Oct-09
58,Agra,Achnera,Wheat,Other,FAQ,1040,1080,1065,01-Oct-09
59,Agra,Achnera,Wheat,Other,FAQ,1040,1090,1075,30-Sep-09
