Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1825,1825,1825,31-Dec-19
2,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1885,1885,1885,30-Dec-19
3,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1880,1880,1880,29-Dec-19
4,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,2000,2000,2000,24-Dec-19
5,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,2000,2000,2000,30-Nov-19
6,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1900,1900,1900,26-Oct-19
7,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1900,1900,1900,25-Oct-19
8,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1900,1900,1900,26-Sep-19
9,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1900,1900,1900,25-Sep-19
10,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1900,1900,1900,21-Sep-19
11,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1900,1900,1900,22-Aug-19
12,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1850,1850,1850,01-Aug-19
13,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1850,1850,1850,26-Jul-19
14,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1800,1800,1800,06-Jul-19
15,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1850,1850,1850,23-Jun-19
16,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1850,1850,1850,18-Jun-19
17,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1790,1800,1795,04-Jun-19
18,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1860,1860,1860,03-Jun-19
19,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1869,1869,1869,30-May-19
20,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,26-May-19
21,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1800,1800,1800,25-May-19
22,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,23-May-19
23,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1862,1851,21-May-19
24,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1860,1860,1860,20-May-19
25,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,18-May-19
26,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,17-May-19
27,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1870,1855,16-May-19
28,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,15-May-19
29,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,14-May-19
30,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,13-May-19
31,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,12-May-19
32,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,10-May-19
33,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,09-May-19
34,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,08-May-19
35,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1800,1840,1840,07-May-19
36,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1800,1840,1840,06-May-19
37,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,05-May-19
38,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,04-May-19
39,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,03-May-19
40,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,02-May-19
41,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,01-May-19
42,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,30-Apr-19
43,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,29-Apr-19
44,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,28-Apr-19
45,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1701,1840,1770,27-Apr-19
46,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,26-Apr-19
47,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,24-Apr-19
48,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,23-Apr-19
49,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,22-Apr-19
50,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,21-Apr-19
51,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,20-Apr-19
52,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,19-Apr-19
53,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,18-Apr-19
54,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1840,1840,1840,17-Apr-19
55,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1800,1800,1800,20-Mar-19
56,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1800,1800,1800,19-Jan-19
57,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,30-Oct-18
58,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,19-Aug-18
59,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1700,1700,1700,16-Aug-18
60,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1300,1300,1300,31-Jul-18
61,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1700,1700,1700,17-Jul-18
62,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,07-Jul-18
63,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,01-Jul-18
64,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,28-Jun-18
65,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,26-Jun-18
66,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,25-Jun-18
67,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,16-Jun-18
68,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,14-Jun-18
69,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,13-Jun-18
70,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,12-Jun-18
71,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1700,1735,1717,11-Jun-18
72,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1700,1735,1717,09-Jun-18
73,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1700,1735,1735,08-Jun-18
74,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,07-Jun-18
75,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,06-Jun-18
76,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,05-Jun-18
77,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,04-Jun-18
78,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,03-Jun-18
79,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,02-Jun-18
80,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,01-Jun-18
81,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1650,1735,1692,31-May-18
82,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1660,1735,1698,30-May-18
83,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,29-May-18
84,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,28-May-18
85,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,27-May-18
86,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,26-May-18
87,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,25-May-18
88,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,24-May-18
89,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,23-May-18
90,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,22-May-18
91,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,21-May-18
92,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1735,1735,1735,19-May-18
