Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalpaiguri,Alipurduar,Wheat,Other,FAQ,600,650,625,06-Aug-03
2,Jalpaiguri,Alipurduar,Wheat,Other,FAQ,575,650,600,05-Aug-03
3,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,01-Jan-20
4,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,31-Dec-19
5,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,30-Dec-19
6,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2160,2120,29-Dec-19
7,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,28-Dec-19
8,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,27-Dec-19
9,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2160,2130,26-Dec-19
10,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2160,2120,25-Dec-19
11,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2160,2120,24-Dec-19
12,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,23-Dec-19
13,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,22-Dec-19
14,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,21-Dec-19
15,Burdwan,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,20-Dec-19
16,Burdwan,Asansol,Wheat,Kalyan,FAQ,2080,2140,2100,19-Dec-19
17,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2200,2140,18-Dec-19
18,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2200,2140,17-Dec-19
19,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2200,2140,16-Dec-19
20,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2180,2140,15-Dec-19
21,Burdwan,Asansol,Wheat,Kalyan,FAQ,2080,2160,2120,14-Dec-19
22,Burdwan,Asansol,Wheat,Kalyan,FAQ,2080,2160,2120,13-Dec-19
23,Burdwan,Asansol,Wheat,Kalyan,FAQ,2080,2200,2120,12-Dec-19
24,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2160,2120,11-Dec-19
25,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2160,2120,10-Dec-19
26,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2160,2120,09-Dec-19
27,Burdwan,Asansol,Wheat,Kalyan,FAQ,2100,2180,2120,08-Dec-19
28,Burdwan,Asansol,Wheat,Kalyan,FAQ,2080,2160,2120,07-Dec-19
