epoch,loss,mae,val_loss,val_mae
0,70793.9932477664,148.78114,65020.52586660138,121.12242
1,51373.689460161906,111.89862,53699.80409125869,100.20367
2,47162.1701765455,100.48802,53583.41099064088,93.773506
3,45490.699083738706,95.020256,50978.65369833409,89.33404
4,44759.50894934846,92.24747,50642.442621809285,89.274956
5,44310.10510416451,90.99087,51653.43835835511,95.759315
6,43747.90182643356,89.37259,50650.110965595435,85.92918
7,43433.8652031145,88.78865,49984.0207108226,85.71074
8,43167.20042268474,87.3414,49699.83020520803,83.45518
9,43035.378382809715,87.17539,52461.2498720294,103.19266
10,42744.67279420558,86.32295,52581.391979745466,97.64117
11,42628.50198643669,85.66862,50032.891295756344,91.88732
12,42379.16568883792,85.132965,49347.44092821608,83.135445
13,42135.651546065834,84.66753,51110.32371291919,91.61347
14,42153.669937503124,84.714485,49525.95710725775,83.34658
15,42013.46803669073,84.17198,48767.29380471429,83.46232
16,41852.85990293762,83.66632,51484.06492333222,90.06382
17,41693.363770784046,83.52882,54526.1095845458,108.30264
18,41683.287540715515,83.6036,48841.89327159492,81.711464
19,41559.1142350413,83.1714,49181.07317406696,82.09666
20,41427.20092255437,82.950714,49365.856607898095,86.238754
21,41378.09333840698,82.81877,48693.69335885053,80.61769
22,41327.675708986906,82.95526,48216.00107621174,79.837
23,41295.395787190726,82.69904,48788.28789285198,80.857635
24,41265.27302332919,82.33258,48917.660404041744,84.39578
25,41209.75861318026,82.35274,49095.476150952694,82.515236
26,41016.14656932745,81.76179,48776.9032485005,82.39834
27,41015.50934035313,81.878296,50202.655656784475,86.786766
28,40971.14486198445,81.55394,50612.54302736957,85.032486
29,40921.41584016001,81.47072,48634.19375345343,80.56283
30,40893.32711236647,81.66028,48778.47554918428,81.04884
31,40827.90272694485,81.04671,48175.9089411345,80.50183
32,40772.78877481084,81.00443,50477.39124928026,88.41425
33,40773.21730750702,81.1462,48637.83830661012,83.41577
34,40736.7787424269,81.05563,47619.31192052155,78.72202
35,40723.59150790756,80.74258,47910.84513710121,81.34981
36,40561.98272173966,80.70811,50366.80847324301,85.35092
37,40621.502293104684,80.56363,48733.501088355224,81.83045
38,40566.44918498815,80.49361,48465.52256982547,81.35989
39,40613.619287274574,80.44238,49716.14128288667,83.28407
40,40594.73936984238,80.45485,47505.453974963595,80.17335
41,40481.74587276066,80.15882,49900.97866021725,94.13549
42,40558.58243173134,80.51374,48789.80908899056,80.117546
43,40412.14027257674,80.18532,47826.75865221626,81.05585
44,40441.30345794023,80.12016,48232.28814078492,78.40342
45,40508.95190120735,80.32316,48611.913654785356,85.84375
46,40369.2847020576,80.05698,48346.407313503434,78.301865
47,40303.33217811616,80.04093,49544.775604850685,86.62235
48,40329.84808696624,79.8222,48174.66066486453,78.98053
49,40230.09327239938,79.67721,55665.38419774539,103.48951
50,40292.345536141875,79.679146,48083.29879032284,83.27487
51,40325.404192293965,80.09788,49300.14376136889,91.54408
52,40235.97152141026,79.89225,47706.30572724092,77.928825
53,40236.470200093645,79.722084,49165.773904277994,81.94936
54,40245.35976748572,79.6856,48109.88396641393,80.41929
55,40130.674119589545,79.618416,48383.20616817466,79.013275
56,40206.29699041031,79.727394,49033.94895804824,80.79653
57,40071.744257411265,79.40485,47459.30781178591,77.67024
58,40155.90795725382,79.41665,48251.15217009003,78.41346
59,40125.95059164474,79.54493,47540.013731906605,77.26236
60,40117.929391313046,79.33891,48023.05565720405,78.75923
61,40112.887256283204,79.48914,47539.04356563681,77.24843
62,40023.5163303763,79.49884,48644.187584883395,81.21942
63,40040.16657254685,79.41031,48610.21538076658,79.40663
64,39978.26790152209,79.38397,48262.053716424256,80.82152
65,39944.25119505898,79.2142,48228.55499431475,81.7289
66,40202.50304230343,79.70347,48007.88020491756,80.822624
67,39912.57892222976,79.290085,48093.56827537917,82.18634
68,40058.951329073556,79.50771,47837.99492736983,78.11246
69,40026.540524528136,79.44859,49108.286122726546,80.41084
70,39943.112473233436,79.10523,47259.33826876762,77.04264
71,39994.2100255012,79.18649,47421.59320642755,77.367035
72,40069.35558096674,79.40893,47867.23921715601,78.20916
73,39881.41890022026,79.12219,47717.40220286938,76.82106
74,39947.21559541188,79.16541,47503.06621729972,76.816154
75,39892.62653547608,79.21999,48164.905066029925,80.25333
76,39849.58296189214,78.91784,49192.823810752954,85.75824
77,39924.147426555624,79.12347,48759.6815045453,81.14602
78,39864.8214162024,79.12456,47452.96424924347,77.427444
79,39850.35519330428,78.88241,48824.647761983084,88.65107
