epoch,loss,mae,val_loss,val_mae
0,1508775.2586600017,753.3308,890552.1332512716,548.8983
1,892127.9903100628,552.0081,826115.7807348592,545.5523
2,844873.5851970261,537.4505,803442.2691740612,522.273
3,829794.5750469404,533.0647,795913.7909576434,531.7592
4,824362.2567634016,531.6905,792287.8561212712,526.55176
5,820786.6535828466,530.84326,789930.4014660661,532.1871
6,817269.3473630802,529.9047,787223.5512007178,519.6022
7,812567.933066531,528.05383,780660.25189148,530.6957
8,805766.4486057425,525.629,772577.2146694532,516.9033
9,797394.995766348,522.8228,764358.7479631082,518.57056
10,787003.0158057134,519.89886,754252.1129319518,523.8974
11,775513.7393294882,517.559,744585.7218543718,507.50797
12,764729.5098019487,516.0542,732420.2943855283,511.63528
13,754789.1388706686,514.8708,724186.3338563647,505.73895
14,745548.7693220888,514.26733,714681.2768775024,510.4095
15,737486.8418944549,513.157,708596.2006422916,514.62067
16,731025.9245251855,512.0859,702109.0747393861,511.4137
17,724802.9202960423,510.56827,697487.8518716409,509.56906
18,719170.2844311718,509.09885,692991.2186350232,509.9247
19,713552.7650662481,507.1729,686328.1165221567,504.4862
20,708270.3643223689,505.32297,687431.7731069418,509.9173
21,702369.593901168,503.00922,676839.2195041121,501.5611
22,696790.1708782882,500.247,670859.1680227158,492.02133
23,691604.1746770653,497.34717,673200.7433110594,514.9997
24,687444.74124626,495.36096,665750.1697304584,487.18362
25,683415.9896926355,493.25137,659705.1019629459,488.17123
26,679446.4390686345,491.31094,656373.4600636205,489.26395
27,675444.7236856219,489.6225,654239.946082675,494.0956
28,670411.7708334124,487.5888,648209.4028435325,477.58948
29,666406.4445161391,485.87656,645859.3542466995,479.91528
30,663102.7826261743,484.01407,643572.9574879162,479.94748
31,660136.6836261135,482.7136,643748.4172967842,487.25842
32,657019.8509040176,481.319,637328.8161341666,472.37823
33,652741.4376457097,479.7828,634243.3303416838,483.66342
34,648637.6391390688,477.81012,627660.9552052899,469.35977
35,645679.3737688236,476.31247,625071.5072908776,472.36353
36,643322.3305637402,475.03513,626180.9630225805,482.7977
37,640932.1125348137,473.68726,622080.4573053061,468.14514
38,639308.8914955803,472.66934,619214.5967281229,466.3721
39,637476.5746456452,471.4957,618353.1608096166,467.80118
40,636130.0580038805,470.72708,616681.8395905476,470.61227
41,634372.0722777428,469.8285,624180.9334318526,489.45374
42,633022.089787596,468.99493,619425.8081477925,483.11084
43,631681.446646492,468.19254,620312.0471483516,454.35046
44,630525.480314586,467.39145,610608.8517961169,461.74307
45,629571.6163680012,466.7251,615689.1696786062,456.76056
46,628035.7631863784,465.89557,614923.1880681204,473.17688
47,626932.8018154275,465.24353,610736.1617316849,455.98172
48,625892.7511204702,464.57385,605278.5909308156,462.2822
49,625087.1437116029,464.17798,612551.8657759351,449.3244
50,624217.5151751745,463.52548,606074.4832415774,462.43362
51,622477.0096288293,462.89096,606635.1767823648,454.34015
52,621614.5063884481,462.21625,606305.067739332,469.05505
53,620917.5461682839,461.7517,608855.7954428634,454.58908
54,619351.7008366565,460.8499,601357.2602723822,448.90186
55,618050.4899731979,460.23505,597347.6657062728,450.78302
56,617610.5459493633,460.02228,603251.3638089312,449.151
57,616579.8945062432,459.58716,598864.5768191123,454.46542
58,615478.7315266588,459.0086,618098.5544166847,438.51736
59,613707.7986243479,458.23407,593822.3988328734,451.13065
60,613317.460327192,457.86694,595010.3878390687,461.9947
61,612418.4661380663,457.6745,601631.2794768783,441.66562
62,612662.5548248445,457.46442,591998.9879736591,450.41174
63,611615.071379753,457.00433,593803.3569317444,461.90314
64,611033.0882298778,456.57758,594636.8171486672,447.85913
65,610017.428794909,456.40085,593889.8141581449,443.02618
66,609453.780289597,456.14844,591569.1281088807,454.79645
67,608733.2171327164,455.5663,590347.0307630397,445.01498
68,607799.1638954914,455.18762,619802.7817538687,492.57996
69,606585.8546419241,454.8832,588332.7794734967,442.07004
70,606429.0301222621,454.6836,587307.9032211521,451.2908
71,606306.616848796,454.45435,587629.35713239,454.92184
72,604833.7504012951,453.87283,583781.7691233362,447.67902
73,604464.7856657893,453.74338,583412.2993351639,453.33514
74,603887.791992892,453.2871,588543.1798991361,458.26007
75,602596.6476549032,452.89386,582771.5879617105,451.2269
76,602340.4556440111,452.8356,578697.8552251289,450.89407
77,601015.9600318568,452.18155,581265.8385794286,448.29538
78,600528.7906437714,452.12045,580238.2732827887,445.06058
79,600818.3282656076,451.99173,579760.0130622587,459.26822
