epoch,loss,rmse,val_loss,val_rmse
0,88897.10911963967,298.15604,71537.81657435244,267.46558
1,68692.43595398976,262.0926,58100.30472008508,241.04008
2,62599.60037116043,250.19896,57034.48299150474,238.8189
3,58596.66903885272,242.06747,64843.31860894013,254.64355
4,56477.26613790047,237.64917,48782.40808542284,220.86746
5,54772.70427809643,234.03584,46623.974003201256,215.92581
6,53428.93192307288,231.14703,45422.17030147589,213.12479
7,52428.20171362613,228.97194,46854.63276834266,216.45929
8,51575.67065609203,227.1027,47023.08555165617,216.84804
9,51219.39307208021,226.31702,44082.38421670353,209.958
10,50212.10645364713,224.08049,47438.49137957287,217.80379
11,49829.09720140345,223.22452,44248.70310429173,210.35384
12,48947.86748414881,221.24155,42510.49533272102,206.18079
13,48750.915880026936,220.79616,41162.3631563913,202.88506
14,48004.05514545601,219.09822,42133.432818103414,205.2643
15,47585.28268586488,218.1405,43422.00226451041,208.37936
16,47449.84977177211,217.82957,41852.7801341896,204.57956
17,47163.50243970727,217.17154,40370.905415883004,200.92514
18,46705.35329347498,216.11435,41668.17436760593,204.1278
19,46636.71294877509,215.95552,40506.923511867055,201.26329
20,46591.084071760415,215.84949,41708.69977178267,204.22714
21,46048.690658777705,214.58955,39043.32716571977,197.5939
22,45529.510717247715,213.3763,38939.11513890378,197.33002
23,46054.300430009345,214.6026,37148.12414091126,192.73853
24,45000.767936065415,212.13411,39201.17289275064,197.99286
25,45314.11299319227,212.8712,38073.405900700185,195.124
26,44956.09747798503,212.02863,41129.00104972665,202.80293
27,44985.89954052452,212.09882,37317.50384991132,193.17746
28,44306.78239272622,210.49187,37993.57372175148,194.91953
29,44067.40596269559,209.92221,37945.413254268344,194.79576
30,43620.143405144954,208.85446,35836.52807463017,189.30531
31,42589.1233667005,206.3712,36179.32131380584,190.20871
32,42181.01597168866,205.38034,37368.49024000887,193.30934
33,41897.28803168225,204.68823,35137.758469987624,187.45071
34,41350.66573215132,203.34886,38438.05846828224,196.05637
35,41426.69379256753,203.53546,37538.08910556103,193.74744
36,40646.201889278505,201.60852,33908.51660194316,184.1427
37,40378.75327333082,200.94429,34719.76311869007,186.33234
38,40409.55031758797,201.02112,34125.1678402369,184.72998
39,40061.23863271505,200.15297,47840.370483465056,218.72443
40,39658.241331068406,199.14392,35611.12170159868,188.70915
41,39797.20878270895,199.49245,32482.580723888088,180.22923
42,39198.32709618576,197.98578,33404.71514950154,182.7695
43,38888.64049746409,197.20227,33775.29272847314,183.78062
44,39074.14719394075,197.67157,32609.54210692046,180.58116
45,39323.05869692314,198.30066,33191.88473745566,182.1864
46,39208.91888594427,198.01251,35689.7345144763,188.91731
47,38785.18244010861,196.93944,33958.20177469888,184.27754
48,38456.992784868766,196.1047,35302.865465059054,187.89056
49,38303.05794855326,195.7119,31816.93158657032,178.37302
50,38787.81572619206,196.94655,31208.047680795393,176.65807
51,38759.86634283306,196.87535,33625.10109778202,183.37149
52,38105.363698061774,195.20605,33196.03478076031,182.19774
53,38235.03332497092,195.53757,33343.39319830728,182.6017
54,37618.499916269,193.95502,32353.529952383156,179.87083
55,38322.97710027615,195.76253,33549.773548654695,183.1659
56,37952.022978983005,194.81331,34266.29538004551,185.11154
57,37651.290688795205,194.0395,35543.56896219888,188.53001
58,37769.63735394518,194.34398,29705.655727420675,172.35327
59,37530.26109942268,193.72704,30776.0300038493,175.431
60,37326.53715757162,193.2007,30914.70571079315,175.82576
61,37353.45661079984,193.27036,30664.551731394225,175.11298
62,37198.04184958514,192.86769,30419.09440444229,174.41068
63,37182.850240803564,192.82896,29241.962050874132,171.00279
64,37242.29283138884,192.98259,29433.04266543473,171.56062
65,36811.80289845507,191.86418,32713.280462781146,180.8681
66,36805.0601438314,191.84656,31520.37602445038,177.5398
67,36744.60447029306,191.68867,29453.108880742282,171.6191
68,37186.64517312891,192.83852,29953.896853012688,173.07195
69,36831.060309802786,191.9142,32573.858331364016,180.4823
70,36542.39129007163,191.16081,32459.094221417712,180.16406
71,36469.36678322223,190.96965,29349.759374604106,171.31767
72,36647.97179717376,191.43648,30088.7996718348,173.46124
73,36532.191327231274,191.13438,31927.92897489183,178.68393
74,36913.448425405164,192.12877,29565.646151672256,171.94662
75,37051.05424600489,192.48625,33298.49719159293,182.47871
76,36892.29200026568,192.07397,31297.047111317923,176.90974
77,35974.503446082104,189.66937,28722.265739809092,169.47647
78,36687.357419887514,191.53947,30750.528867026096,175.35828
79,36348.442859938164,190.6528,29123.552179058333,170.65622
80,36182.55065114959,190.21707,34190.60826253947,184.90701
81,37069.2320957825,192.5338,30589.90116337852,174.89964
82,36136.75073296683,190.09634,29279.733539360335,171.11325
83,35875.13621251723,189.40736,38302.98462624006,195.71146
84,36257.61308902452,190.41457,32773.40868078565,181.03426
85,35801.86298956991,189.21439,29484.415281851758,171.71025
86,35813.3648774123,189.24437,29309.156951340436,171.19917
87,36264.54745260607,190.43259,33108.45487454442,181.95732
88,36496.60524249678,191.0408,31758.20323950456,178.2083
89,35930.73537488344,189.554,32070.216462192788,179.08153
90,36148.985004697526,190.12897,31304.831924358776,176.93175
91,35656.20304963569,188.82893,30781.079848354544,175.44539
92,35888.94097082956,189.44385,30644.335881465853,175.0552
93,35933.6802584544,189.56166,29750.608150471173,172.48361
94,35232.52588517325,187.70296,28440.347479011558,168.6427
95,35506.01824928733,188.43062,30478.698327989787,174.58153
96,35694.75863709971,188.93056,29785.169723166953,172.58382
97,35865.608394959396,189.38193,29858.86080295714,172.79716
98,36000.539768218994,189.73796,30760.146514067008,175.38568
99,35419.02793267194,188.19923,35610.76946760252,188.70816
