epoch,loss,rmse,val_loss,val_rmse
0,101502.94870860637,318.59586,77859.12383774825,279.03238
1,74750.15742377273,273.40482,74455.29278054835,272.86496
2,70779.59868525657,266.0445,72974.1718900744,270.13736
3,67603.28982935032,260.00607,66244.16487042712,257.37943
4,65498.41300162949,255.9263,65857.63070817417,256.6273
5,63418.15033112855,251.82973,63546.257616380484,252.08379
6,61825.39186538568,248.64731,60496.735124761246,245.96077
7,60103.20442331138,245.1593,62621.1942017144,250.2423
8,58355.302474174176,241.56853,58113.76670183012,241.06807
9,57017.44832841889,238.78325,55119.894698286575,234.77626
10,55922.5635168893,236.47961,55475.7312855086,235.53287
11,55235.389321591676,235.022,56421.49544174398,237.53206
12,54665.68582890615,233.80716,54140.36125671192,232.68086
13,54057.381985319764,232.50235,54593.959667291165,233.65355
14,53423.815905146235,231.13582,53955.87550065292,232.28403
15,52950.16225673772,230.10875,54353.98899203097,233.13943
16,52604.31970666837,229.3563,52598.83597404401,229.34439
17,52164.15075907988,228.39516,52188.60286498938,228.44826
18,51838.26657970012,227.68018,50770.32088289107,225.32265
19,51475.038684364124,226.88126,50676.98769959119,225.1155
20,51206.250853049656,226.28809,53404.89492090049,231.09503
21,50856.81475156896,225.51445,51896.03926927818,227.80696
22,50641.121928014676,225.03598,49928.40261463246,223.44661
23,50265.985076551675,224.2008,51025.05428338417,225.88733
24,50056.07147437985,223.73189,48986.522026444465,221.329
25,49691.27128065734,222.91519,49544.17307653656,222.58522
26,49576.39411964737,222.65775,48419.82651325695,220.04503
27,49235.70163338925,221.89096,49531.92470792201,222.55766
28,48972.60451161361,221.29742,48233.44424419681,219.62112
29,48721.234754418125,220.72914,47355.405865374305,217.61298
30,48422.21625121301,220.05066,47417.38158979837,217.75537
31,48220.793421897564,219.59225,47016.72919869343,216.83337
32,47978.58257479627,219.04047,46627.065755462114,215.93304
33,47692.31302187623,218.38568,45619.71282073458,213.5878
34,47593.39941268408,218.15892,46303.12073013711,215.1816
35,47213.56502888784,217.28685,44967.88543346676,212.05632
36,47115.26078472618,217.06024,46187.91014102333,214.91374
37,46978.44258406182,216.74493,45212.941504005226,212.63338
