epoch,loss,rmse,val_loss,val_rmse
0,82809.18930367862,287.76556,96629.6374234403,310.85312
1,65277.90113894679,255.49562,90663.70240416942,301.10416
2,59885.83279617694,244.71558,89616.4885396466,299.36023
3,55870.74437880316,236.36996,90046.4595171562,300.07748
4,53814.16222833585,231.97876,81322.82290879956,285.1715
5,52170.09428392939,228.40762,85549.91450544384,292.48914
6,51093.064048222135,226.0378,79430.04657016206,281.83347
7,50242.30639234911,224.14815,81251.08775465083,285.0458
8,49472.41765806054,222.42397,78140.42893469342,279.536
9,49022.048035982276,221.40924,82652.77263916568,287.49396
10,48091.48770696175,219.29791,80068.73987814705,282.96432
11,47704.08648771398,218.4126,79182.26246059338,281.39322
12,47330.544072351535,217.55595,76464.2864188455,276.5219
13,46559.89745029482,215.7774,78275.53915667695,279.7776
14,46411.718823184485,215.43396,76302.0937621052,276.22833
15,45953.77240730735,214.36823,77757.91228554757,278.85098
16,45507.58621154913,213.32503,74730.04054907981,273.3681
17,45173.45438237551,212.54062,77633.52880878409,278.628
18,44859.28653628886,211.80019,74454.58482016693,272.86362
19,44142.64026911119,210.10106,75366.85207624786,274.53027
20,43967.89986102321,209.68542,72780.88505607373,269.77936
21,43922.57354819674,209.57695,71883.89172307133,268.11163
22,43319.1664245349,208.13257,73591.38227134413,271.27728
23,43169.338220997015,207.77206,73590.60564416125,271.27588
24,43325.77227289537,208.14865,75916.97202548519,275.5303
25,42332.41929616848,205.74843,76907.58144197786,277.32205
26,42657.68923341126,206.53711,74494.62308265768,272.93692
27,42524.39910462323,206.21436,74265.08592623226,272.51614
28,42365.10368924181,205.82768,72900.43787016036,270.00082
29,41617.04402381833,204.00294,72780.3571191688,269.77832
30,42004.515602961306,204.94995,72508.636992221,269.27414
31,41800.19346714821,204.45113,74678.9589670166,273.27454
32,41728.98470447444,204.2768,72735.69671990114,269.6955
33,41697.72872629887,204.1998,72464.40950020892,269.19217
34,41127.48071465372,202.79935,72452.87448533854,269.17084
35,41429.52681033351,203.5424,73831.45252841906,271.7195
36,41764.438024937604,204.36366,75820.84028098384,275.35583
37,41127.54839446765,202.79927,75801.72199906691,275.321
38,40665.28008129216,201.65652,72677.48184577393,269.58765
39,40977.39057287649,202.429,70820.32572794142,266.12097
40,40905.26735539797,202.25099,75512.2568437031,274.79492
41,40861.826890945435,202.14307,72702.78253688203,269.63452
42,40907.679561935554,202.25623,72001.3274141429,268.3306
43,40140.10717555455,200.34998,72368.00496823412,269.01306
44,40347.737610808945,200.86789,72319.73743951967,268.92334
45,40195.44384906672,200.48816,70160.30583216494,264.87793
46,40074.0469824847,200.18489,70309.05549946219,265.15854
47,40249.47370500324,200.62262,71854.49590128488,268.05682
48,40171.6012533813,200.42842,72262.82412472532,268.81747
49,40153.33033114521,200.38292,81976.72111713816,286.3157
50,40113.03921274778,200.28236,74509.8351186858,272.96487
51,39546.54762125416,198.86336,70390.71954932406,265.3125
52,39908.80369574283,199.77184,71295.98847729339,267.0131
53,39875.740341987934,199.68945,70504.92823479952,265.52768
54,39800.375700910554,199.50035,73170.80888556913,270.50098
55,39536.97566082097,198.8393,70110.15550625329,264.78314
56,40464.524113374595,201.1578,72347.84643880157,268.97556
57,39880.45996558566,199.70091,70009.01614323973,264.59207
58,39159.0072367051,197.88629,72221.99930756717,268.74142
59,39976.369640911325,199.94104,69580.0229914347,263.7802
60,39615.32281761811,199.03624,69711.25089586114,264.02893
61,39401.34776049702,198.49759,69832.64756919912,264.2588
62,39747.72194918464,199.36836,71014.8361988658,266.48596
63,38887.546103773995,197.19934,70941.19862803133,266.34787
64,39004.87095382434,197.4967,72661.84094897786,269.55856
65,39010.94221475745,197.51173,70900.86724033655,266.27228
66,39426.54734473669,198.56114,72078.19799079518,268.47382
67,41612.230159695406,203.99077,70337.18772718192,265.21158
68,39009.17768422295,197.50734,70854.21207942413,266.1846
69,38655.77867567239,196.61082,70392.28636441016,265.31543
70,38568.56814684187,196.38881,69226.55754120642,263.10944
71,39095.55573455426,197.72583,71844.11246327327,268.0375
72,38965.922547685,197.39804,69851.82475556627,264.29492
73,38849.438663675006,197.10236,69696.06673339501,264.00015
74,41125.42218767695,202.79399,70649.49890345134,265.79974
75,38533.957621277885,196.30074,70605.22179670446,265.7164
76,38189.24243888535,195.42035,69915.02980377086,264.4146
77,38455.69976418759,196.10098,70163.78239915681,264.8844
78,38442.81523295811,196.06833,69388.71137465771,263.41745
79,38170.14141493084,195.37167,69168.11970827526,262.9983
80,38005.889149593706,194.95097,68342.49306729701,261.42395
81,37900.464558881875,194.68054,70053.24533226422,264.67563
82,37931.1378685286,194.75914,68829.12967184698,262.35303
83,37869.9651254125,194.602,69559.5779878077,263.74152
84,37972.81617009139,194.86633,70525.74331655761,265.5669
85,38208.65292696592,195.47043,70421.38817510488,265.37033
86,38050.24865036652,195.06464,68913.95415584558,262.51462
87,38042.02018970201,195.04369,72995.6664089299,270.17706
88,38343.29931270375,195.81444,71028.52527726244,266.51187
89,38071.934527309,195.12001,70157.13029126792,264.87195
90,37809.17159324133,194.44551,70584.23735546845,265.67688
91,38580.18056662744,196.41818,69279.37757064261,263.2097
92,37638.10761004536,194.00528,69483.63256788354,263.59735
93,38458.227502470254,196.10783,69921.33476660712,264.42648
94,38159.022188427065,195.34341,68563.0488530206,261.8454
95,38134.620060079236,195.28067,69439.5937095732,263.51398
96,37732.40185295233,194.24821,68500.48508258337,261.72607
97,37385.152285407574,193.35243,67854.27056361825,260.48856
98,37493.87036594423,193.63313,70997.21974612877,266.45297
99,37994.9640071933,194.9229,70582.07209744642,265.67288
