epoch,loss,mae,val_loss,val_mae
0,325373.64693777903,350.21106,122973.48602739826,191.62468
1,86475.9598573316,178.7965,110770.34494438002,173.469
2,81681.6838245552,172.7142,108106.93367871482,173.04634
3,79836.46921314913,170.27168,106821.15087559445,171.93738
4,78608.14653310055,168.47658,105508.17368149216,167.12567
5,77502.1430069098,166.7601,104372.04527924495,166.04497
6,76571.46586698644,165.32419,103547.89036980101,163.57991
7,75811.9632183684,164.04282,102729.68934729965,164.05286
8,75207.54256714894,163.03728,102586.56048825232,162.63612
9,74705.60752855829,162.13165,102034.89457053482,159.83711
10,74281.20170272699,161.26944,101369.04905850452,161.56963
11,73860.21220077387,160.47533,101032.3914600306,160.64621
12,73493.08606982832,159.77464,100590.81303293347,159.59985
13,73129.68057738231,159.14796,100316.16202821684,159.80365
14,72758.9229613232,158.40973,99837.54621781691,157.65031
15,72309.0785584009,157.432,99483.17022381988,158.63635
16,71796.2100671079,156.14456,98869.01419491113,155.19011
17,71254.14505748589,154.71426,98305.22566838992,154.54936
18,70773.48756165063,153.41049,97970.13270652237,153.57011
19,70353.59302424583,152.32018,97451.95773533123,152.46988
20,69954.8867254177,151.37907,97044.70437967763,150.96532
21,69581.45459343406,150.5427,96779.81648116522,149.74567
22,69191.0962488511,149.81021,96377.62292582297,150.37227
23,68718.5067195091,148.94656,95873.71977140504,147.39067
24,68258.93877866087,148.23338,95520.11104110227,146.99513
25,67768.95699278246,147.39919,94963.38237975803,146.72948
26,67270.20097286961,146.59605,94732.38452671854,150.37314
27,66719.64313821231,145.63025,94142.16392363276,143.87067
28,66118.65031574153,144.59868,93096.34378898027,144.24254
29,65525.12247140067,143.56337,92930.50256995742,141.66254
30,64930.72302246094,142.55312,91918.96507641353,142.18536
31,64378.159922367384,141.60843,91433.2491640558,140.3732
32,63900.70162579192,140.73393,91651.91423608403,144.3014
33,63450.69677836955,139.96829,90725.15759086059,140.61568
34,63012.95938571962,139.12138,90209.28941636781,138.86754
35,62653.15332800601,138.49199,89835.49541250877,139.45251
36,62247.82613597197,137.75685,89569.14166985411,140.38544
37,61853.49003793412,137.07106,88851.01371983901,136.19843
38,61471.613654641544,136.29619,88733.91400189785,136.97644
39,61128.60410135734,135.65353,88467.27979158952,134.31981
40,60786.7770129292,135.112,88354.16467339401,135.49503
41,60508.70869484268,134.57787,87774.10795435165,134.24416
42,60188.55140057732,133.98799,87491.05999003566,133.2544
43,59908.51477153361,133.62033,87445.61444974468,135.04121
44,59673.66496366613,133.16943,87417.06247655093,132.23845
45,59451.390977875526,132.79036,86454.10219014336,131.7413
46,59221.27306641651,132.35783,87051.96253690944,134.63724
47,58986.68678245224,132.0461,86308.78173207639,131.69235
48,58745.44820423287,131.48592,85918.71948209831,132.72258
49,58538.66295463498,131.19336,85709.06917506772,129.8578
50,58304.34511277656,130.82365,86478.740286907,130.33282
51,58095.24190591764,130.4726,85724.99990041758,135.06398
52,57875.75881137367,130.18022,85159.73230539098,130.7982
53,57682.213426349546,129.89929,85088.65147491619,129.85558
54,57463.051564192574,129.55466,84688.65878341341,127.04119
55,57237.70111545595,129.14578,87229.61067535765,132.86075
56,57002.48824919372,128.93073,83880.09416446996,129.12027
57,56789.050559676994,128.65222,83728.85624135126,126.8236
58,56574.78499878955,128.322,83822.69727308607,126.01163
59,56303.16510189281,127.826126,83488.90110521264,126.20018
60,56109.15824902959,127.614555,83247.3339948814,127.83073
61,55875.13248706465,127.1921,83314.80191868228,131.0061
62,55696.02710371258,127.066124,83041.08493954403,125.92134
63,55500.153584712694,126.6757,82915.78602995635,130.55139
64,55263.99417268128,126.44274,82165.49868867916,125.91377
65,55081.59500711906,126.137764,82627.05687313626,127.34987
66,54891.39910298836,125.84624,81709.10014398339,123.03726
67,54666.449632404234,125.49025,82995.36057425255,136.33357
68,54492.93036324637,125.39159,81542.17086608082,127.11144
69,54286.08974527311,124.9894,81029.7014896556,124.11047
70,54068.464967615466,124.59838,80750.10213715454,123.43136
71,53878.04461798147,124.473625,80819.99224840668,122.07163
72,53663.550182438696,124.10239,80635.07205290842,126.67385
73,53526.782654834395,124.01301,80176.42462980919,123.1141
74,53316.345757236,123.657745,80270.09941340775,124.05494
75,53119.45354737354,123.41453,79794.89829315117,121.73566
76,52945.940901555936,123.25684,79873.51506770386,124.16272
77,52747.038564730094,123.04588,79478.55612885661,121.32901
78,52568.75098425601,122.83982,79122.07050770591,121.47698
79,52365.9467219505,122.61508,78688.69442798271,120.962
